# name,mass (Mjup),Radio (Rjup),Periodo (dias),Semi eje (ua),Excen,inclination,Año,Metodo,Nombre estr,Metalicidad,Masa estr (Msol),Radio (Rsol),Tipo espectral,Edad (gyr),Teff,Disco detectado,Campo magnetico
Kepler-508 b,,0.146,25.30889748,,,,2016,Primary Transit,Kepler-508,0.18,1.16,1.25,,,6025,,
Kepler-509 b,,0.222,41.74600392,,,,2016,Primary Transit,Kepler-509,0.01,1.1,1.2,,,6060,,
Kepler-51 b,0.006607306,0.633420704,45.1555023,0.2514,0.04,,2012,Primary Transit,Kepler-51,,1,0.91,,,5803,,
Kepler-51 c,0.012585344,0.802927653,85.3128662,0.384,0.014,,2012,Primary Transit,Kepler-51,,1,0.91,,,5803,,
Kepler-510 b,,0.22,19.55659418,,,,2016,Primary Transit,Kepler-510,-0.35,0.91,1.41,,,5746,,
Kepler-511 b,,0.567,296.637865,,,,2016,Primary Transit,Kepler-511,0.01,1,1.2,,,5770,,
Kepler-512 b,,0.24,34.43587975,,,,2016,Primary Transit,Kepler-512,0.22,1.17,1.3,,,5997,,
Kepler-513 b,,0.196,28.86235584,,,,2016,Primary Transit,Kepler-513,-0.01,1.02,1.06,,,5849,,
Kepler-514 b,,0.153,5.65179605,,,,2016,Primary Transit,Kepler-514,0.36,1.28,1.44,,,6106,,
Kepler-515 b,,0.13,19.96371318,,,,2016,Primary Transit,Kepler-515,0.08,0.9,0.83,,,5293,,
Kepler-516 b,,0.512,24.85462415,,,,2016,Primary Transit,Kepler-516,0.01,1.62,2.02,,,7099,,
Kepler-517 b,,0.238,60.92832271,,,,2016,Primary Transit,Kepler-517,-0.06,0.95,0.98,,,5690,,
Kepler-518 b,,0.188,8.51203588,,,,2016,Primary Transit,Kepler-518,-0.23,0.96,0.88,,,5842,,
Kepler-519 b,,0.187,24.3078946,,,,2016,Primary Transit,Kepler-519,0.01,0.89,0.8,,,5260,,
Kepler-52 b,8.7,0.19,7.8773565,,,,2012,Primary Transit,Kepler-52,,0.54,0.52,,,4075,,
Kepler-52 c,10.41,0.16,16.3850021,,,,2012,Primary Transit,Kepler-52,,0.54,0.52,,,4075,,
Kepler-52 d,,0.174,36.445171,0.182,,,2014,Primary Transit,Kepler-52,,0.54,0.52,,,4075,,
Kepler-520 b,,0.148,19.67416124,,,,2016,Primary Transit,Kepler-520,-0.03,1.1,1.09,,,6112,,
Kepler-520 c,,0.095,5.21104261,,,,2016,Primary Transit,Kepler-520,-0.03,1.1,1.09,,,6112,,
Kepler-521 b,,0.284,22.20813214,,,,2016,Primary Transit,Kepler-521,0.25,1.34,1.46,,,6406,,
Kepler-522 b,,0.616,38.58422849,,,,2016,Primary Transit,Kepler-522,0.41,1.54,1.98,,,6392,,
Kepler-523 b,,0.175,5.83598311,,,,2016,Primary Transit,Kepler-523,-0.03,0.93,0.86,,,5515,,
Kepler-524 b,,0.17,7.97419807,,,,2016,Primary Transit,Kepler-524,0.02,1.09,1.1,,,6014,,
Kepler-524 c,,0.086,1.88897906,,,,2016,Primary Transit,Kepler-524,0.02,1.09,1.1,,,6014,,
Kepler-525 b,,0.235,18.68404933,,,,2016,Primary Transit,Kepler-525,0.11,0.95,1.15,,,5573,,
Kepler-526 b,,0.178,5.45849832,,,,2016,Primary Transit,Kepler-526,0.34,1.15,1.14,,,5894,,
Kepler-527 b,,0.253,13.28535633,,,,2016,Primary Transit,Kepler-527,0.03,1.28,1.45,,,6388,,
Kepler-528 b,,0.186,19.78297415,,,,2016,Primary Transit,Kepler-528,0.02,1.01,1.06,,,5807,,
Kepler-529 b,,0.166,1.98035766,,,,2016,Primary Transit,Kepler-529,-0.1,1.07,1.14,,,6087,,
Kepler-529 c,,0.178,12.8345022,,,,2016,Primary Transit,Kepler-529,-0.1,1.07,1.14,,,6087,,
Kepler-53 b,18.41,0.26,18.6489525,,,,2012,Primary Transit,Kepler-53,,0.98,0.89,,,5858,,
Kepler-53 c,15.75,0.28,38.5583038,,,,2012,Primary Transit,Kepler-53,,0.98,0.89,,,5858,,
Kepler-53 d,,0.189,9.751962,0.091,,,2014,Primary Transit,Kepler-53,,0.98,0.89,,,5858,,
Kepler-530 b,,0.269,39.30941904,,,,2016,Primary Transit,Kepler-530,-0.08,0.97,0.89,,,5697,,
Kepler-531 b,,0.248,29.88485741,,,,2016,Primary Transit,Kepler-531,-0.03,0.78,0.75,,,4893,,
Kepler-532 b,,0.229,12.92491623,,,,2016,Primary Transit,Kepler-532,0,0.87,0.79,,,5192,,
Kepler-533 b,,0.302,28.51120525,,,,2016,Primary Transit,Kepler-533,0.01,0.78,0.72,,,4758,,
Kepler-534 b,,0.2,15.95994513,,,,2016,Primary Transit,Kepler-534,0.01,1.05,0.98,,,5884,,
Kepler-535 b,,0.211,4.90332155,,,,2016,Primary Transit,Kepler-535,0.13,1.18,1.27,,,6123,,
Kepler-536 b,,0.277,1.8270823,,,,2016,Primary Transit,Kepler-536,0,0.92,0.89,,,5524,,
Kepler-537 b,,0.126,3.24755522,,,,2016,Primary Transit,Kepler-537,0.23,1.07,0.99,,,5763,,
Kepler-538 b,,0.202,81.73780699,,,,2016,Primary Transit,Kepler-538,-0.05,0.96,0.9,,,5650,,
Kepler-539 b,0.97,0.747,125.63243,0.4988,0,89.845,2015,Primary Transit,Kepler-539,-0.01,1.048,0.952,G2V,1.1,5820,,
Kepler-539 c,2.4,,1000,,0.5,97.92,2015,TTV,Kepler-539,-0.01,1.048,0.952,G2V,1.1,5820,,
Kepler-54 b,,0.19,8.0109434,,,,2012,Primary Transit,Kepler-54,,0.51,0.5,,,3705,,
Kepler-54 c,,0.11,12.0717249,,,,2012,Primary Transit,Kepler-54,,0.51,0.5,,,3705,,
Kepler-54 d,,0.136,20.995694,0.126,,,2014,Primary Transit,Kepler-54,,0.51,0.5,,,3705,,
Kepler-540 b,,0.242,172.7049784,,,,2016,Primary Transit,Kepler-540,-0.1,1.02,1.08,,,5946,,
Kepler-541 b,,0.3,5.08005848,,,,2016,Primary Transit,Kepler-541,0.07,1.41,2.06,,,6166,,
Kepler-542 b,,0.14,13.14497566,,,,2016,Primary Transit,Kepler-542,0.02,0.93,0.9,,,5526,,
Kepler-543 b,,0.223,13.89961966,,,,2016,Primary Transit,Kepler-543,-0.19,0.7,0.67,,,4671,,
Kepler-544 b,,0.189,21.41616926,,,,2016,Primary Transit,Kepler-544,0.02,1.16,1.22,,,6206,,
Kepler-545 b,,0.24,13.24934059,,,,2016,Primary Transit,Kepler-545,0.03,1.04,1.07,,,5882,,
Kepler-546 b,,0.624,4.14702026,,,,2016,Primary Transit,Kepler-546,0.14,1.11,1.15,,,5967,,
Kepler-547 b,,0.357,6.01038429,,,,2016,Primary Transit,Kepler-547,0.01,0.78,0.73,,,4828,,
Kepler-548 b,,1.07,4.45419434,,,,2016,Primary Transit,Kepler-548,0,0.93,0.9,,,5535,,
Kepler-549 b,,0.229,42.9495649,,,,2016,Primary Transit,Kepler-549,-0.03,0.88,0.84,,,5360,,
Kepler-549 c,,0.261,117.040498,,,,2016,Primary Transit,Kepler-549,-0.03,0.88,0.84,,,5360,,
Kepler-55 b,,0.22,27.94811449,,,,2012,Primary Transit,Kepler-55,,0.62,0.58,,,4362,,
Kepler-55 c,,0.2,42.1516418,,,,2012,Primary Transit,Kepler-55,,0.62,0.58,,,4362,,
Kepler-55 d,,0.142,2.211099,0.029,,,2014,Primary Transit,Kepler-55,,0.62,0.58,,,4362,,
Kepler-55 e,,0.138,4.617534,0.048,,,2014,Primary Transit,Kepler-55,,0.62,0.58,,,4362,,
Kepler-55 f,,0.142,10.198545,0.081,,,2014,Primary Transit,Kepler-55,,0.62,0.58,,,4362,,
Kepler-550 b,,0.394,8.60010411,,,,2016,Primary Transit,Kepler-550,-0.02,0.87,0.83,,,5322,,
Kepler-551 b,,0.244,12.3764661,,,,2016,Primary Transit,Kepler-551,-0.09,0.65,0.63,,,4286,,
Kepler-552 b,,0.352,5.26341577,,,,2016,Primary Transit,Kepler-552,0.01,1.03,1.04,,,5863,,
Kepler-553 b,,0.413,4.03046804,,,,2016,Primary Transit,Kepler-553,0.21,0.92,0.85,,,5266,,
Kepler-553 c,,0.999,328.2399546,,,,2016,Primary Transit,Kepler-553,0.21,0.92,0.85,,,5266,,
Kepler-554 b,,0.383,1.90220856,,,,2016,Primary Transit,Kepler-554,0.14,0.93,0.92,,,5447,,
Kepler-555 b,,0.252,16.21775407,,,,2016,Primary Transit,Kepler-555,0,1.03,1.04,,,5894,,
Kepler-556 b,,0.2,11.72292176,,,,2016,Primary Transit,Kepler-556,0.03,1,0.98,,,5740,,
Kepler-557 b,,0.238,3.70598955,,,,2016,Primary Transit,Kepler-557,0.02,1.11,1.16,,,6068,,
Kepler-558 b,,0.211,29.00790538,,,,2016,Primary Transit,Kepler-558,-0.06,0.85,0.81,,,5242,,
Kepler-559 b,,0.322,17.58752333,,,,2016,Primary Transit,Kepler-559,0.03,0.96,0.95,,,5630,,
Kepler-56 b,0.07,0.58,10.5016,0.1028,0.04,83.84,2012,Primary Transit,Kepler-56,0.2,1.32,4.23,,3.5,4840,,
Kepler-56 c,0.569,0.88,21.40239,0.1652,0,84.02,2012,Primary Transit,Kepler-56,0.2,1.32,4.23,,3.5,4840,,
Kepler-56 d,5.61,,1002,2,0.2,,2013,Radial Velocity,Kepler-56,0.2,1.32,4.23,,3.5,4840,,
Kepler-560 b,,0.153,18.47764449,,,,2016,Primary Transit,Kepler-560,-0.39,0.34,0.33,,,3556,,
Kepler-561 b,,0.621,58.3620495,,,,2016,Primary Transit,Kepler-561,0.02,0.96,0.94,,,5646,,
Kepler-561 c,,0.239,5.35016198,,,,2016,Primary Transit,Kepler-561,0.02,0.96,0.94,,,5646,,
Kepler-562 b,,0.465,18.00931444,,,,2016,Primary Transit,Kepler-562,-0.04,0.93,0.9,,,5575,,
Kepler-563 b,,0.276,22.18432708,,,,2016,Primary Transit,Kepler-563,-0.08,0.8,0.77,,,5066,,
Kepler-564 b,,0.413,3.75083228,,,,2016,Primary Transit,Kepler-564,-0.01,0.95,0.92,,,5626,,
Kepler-565 b,,0.325,4.24374723,,,,2016,Primary Transit,Kepler-565,-0.02,0.98,0.95,,,5735,,
Kepler-566 b,,0.192,18.42794624,,,,2016,Primary Transit,Kepler-566,-0.01,0.83,0.79,,,5132,,
Kepler-567 b,,0.201,16.54297375,,,,2016,Primary Transit,Kepler-567,0,0.84,0.79,,,5148,,
Kepler-568 b,,0.202,11.02347475,,,,2016,Primary Transit,Kepler-568,0.11,0.55,0.53,,,3768,,
Kepler-569 b,,0.282,34.18890521,,,,2016,Primary Transit,Kepler-569,0.01,0.95,0.93,,,5616,,
Kepler-57 b,18.86,0.2,5.7293196,,,,2012,Primary Transit,Kepler-57,,0.83,0.73,,,5145,,
Kepler-57 c,6.95,0.14,11.6092567,,,,2012,Primary Transit,Kepler-57,,0.83,0.73,,,5145,,
Kepler-570 b,,0.219,4.301662,,,,2016,Primary Transit,Kepler-570,0.06,0.93,0.9,,,5496,,
Kepler-571 b,,0.236,4.79859939,,,,2016,Primary Transit,Kepler-571,0.01,0.93,0.9,,,5527,,
Kepler-572 b,,0.23,17.20523483,,,,2016,Primary Transit,Kepler-572,-0.1,0.83,0.79,,,5212,,
Kepler-573 b,,0.249,22.18329658,,,,2016,Primary Transit,Kepler-573,0.02,0.99,1.02,,,5746,,
Kepler-574 b,,0.213,7.65880414,,,,2016,Primary Transit,Kepler-574,-0.01,0.95,0.91,,,5612,,
Kepler-575 b,,0.213,9.37891944,,,,2016,Primary Transit,Kepler-575,0,0.97,0.95,,,5710,,
Kepler-576 b,,0.292,29.91136794,,,,2016,Primary Transit,Kepler-576,0.09,0.99,0.97,,,5672,,
Kepler-577 b,,0.227,25.69578251,,,,2016,Primary Transit,Kepler-577,-0.14,0.78,0.73,,,4984,,
Kepler-578 b,,0.178,1.6168837,,,,2016,Primary Transit,Kepler-578,-0.03,0.87,0.83,,,5334,,
Kepler-579 b,,0.178,9.66857723,,,,2016,Primary Transit,Kepler-579,0.13,0.99,0.96,,,5636,,
Kepler-58 b,1.39,0.25,10.2184954,,,,2012,Primary Transit,Kepler-58,,0.95,1.03,,,5843,,
Kepler-58 c,2.19,0.26,15.5741568,,,,2012,Primary Transit,Kepler-58,,0.95,1.03,,,5843,,
Kepler-58 d,,0.262,40.101371,0.236,,,2014,Primary Transit,Kepler-58,,0.95,1.03,,,5843,,
Kepler-580 b,,0.229,8.22241966,,,,2016,Primary Transit,Kepler-580,-0.06,0.67,0.64,,,4298,,
Kepler-581 b,,0.235,40.6069821,,,,2016,Primary Transit,Kepler-581,0.03,1,1,,,5772,,
Kepler-582 b,,0.328,18.49235668,,,,2016,Primary Transit,Kepler-582,0.01,0.93,0.91,,,5564,,
Kepler-583 b,,0.203,6.5100253,,,,2016,Primary Transit,Kepler-583,0.07,0.94,0.91,,,5523,,
Kepler-584 b,,0.376,35.1810304,,,,2016,Primary Transit,Kepler-584,0.02,1.17,1.24,,,6195,,
Kepler-585 b,,0.252,2.75235975,,,,2016,Primary Transit,Kepler-585,0.03,0.96,0.93,,,5593,,
Kepler-586 b,,0.249,2.10472218,,,,2016,Primary Transit,Kepler-586,0,0.94,0.92,,,5575,,
Kepler-587 b,,0.199,10.94027841,,,,2016,Primary Transit,Kepler-587,-0.05,0.92,0.89,,,5549,,
Kepler-588 b,,0.235,4.22162536,,,,2016,Primary Transit,Kepler-588,0,1.01,1,,,5835,,
Kepler-589 b,,0.203,16.54964934,,,,2016,Primary Transit,Kepler-589,0.01,0.88,0.83,,,5296,,
Kepler-59 b,2.05,0.098,11.8681707,,,,2012,Primary Transit,Kepler-59,,1.04,0.94,,,6074,,
Kepler-59 c,1.37,0.18,17.9801235,,,,2012,Primary Transit,Kepler-59,,1.04,0.94,,,6074,,
Kepler-590 b,,0.359,5.85296257,,,,2016,Primary Transit,Kepler-590,0.07,1.1,1.15,,,6000,,
Kepler-591 b,,0.302,81.1694299,,,,2016,Primary Transit,Kepler-591,0.01,0.97,0.94,,,5677,,
Kepler-592 b,,0.213,2.82019241,,,,2016,Primary Transit,Kepler-592,-0.03,1.04,1.04,,,5913,,
Kepler-593 b,,0.256,21.21708973,,,,2016,Primary Transit,Kepler-593,0.04,1.08,1.1,,,5967,,
Kepler-594 b,,0.194,13.64618192,,,,2016,Primary Transit,Kepler-594,-0.03,0.91,0.87,,,5485,,
Kepler-595 b,,0.34,25.30292332,,,,2016,Primary Transit,Kepler-595,0.08,0.87,0.83,,,5247,,
Kepler-596 b,,0.309,21.30022655,,,,2016,Primary Transit,Kepler-596,0.03,1.21,1.32,,,6267,,
Kepler-597 b,,0.211,13.02365861,,,,2016,Primary Transit,Kepler-597,-0.01,0.97,0.95,,,5683,,
Kepler-598 b,,0.134,3.70175428,,,,2016,Primary Transit,Kepler-598,0.02,0.87,0.86,,,5307,,
Kepler-599 b,,0.253,15.65562652,,,,2016,Primary Transit,Kepler-599,-0.02,0.83,0.79,,,5127,,
Kepler-6 b,0.669,1.323,3.234723,0.04567,0,86.8,2010,Primary Transit,Kepler-6,0.34,1.209,1.391,,3.8,5647,,
Kepler-60 b,0.01317,0.153,7.1316185,0.07497,,,2012,Primary Transit,Kepler-60,,1.1,1.5,,,5915,,
Kepler-60 c,0.0121,0.17,8.9193459,0.08701,,,2012,Primary Transit,Kepler-60,,1.1,1.5,,,5915,,
Kepler-60 d,0.0131,0.178,11.9016171,0.10548,,,2012,Primary Transit,Kepler-60,,1.1,1.5,,,5915,,
Kepler-600 b,,0.259,23.67517607,,,,2016,Primary Transit,Kepler-600,-0.09,0.84,0.81,,,5279,,
Kepler-601 b,,0.17,5.37886844,,,,2016,Primary Transit,Kepler-601,-0.02,0.85,0.79,,,5160,,
Kepler-602 b,,0.186,15.28469497,,,,2016,Primary Transit,Kepler-602,-0.02,1.08,1.13,,,6062,,
Kepler-603 b,,0.236,21.05358596,,,,2016,Primary Transit,Kepler-603,0.03,1.01,1.01,,,5808,,
Kepler-603 c,,0.58,127.9075774,,,,2016,Primary Transit,Kepler-603,0.03,1.01,1.01,,,5808,,
Kepler-603 d,,0.118,6.2171292,,,,2016,Primary Transit,Kepler-603,0.03,1.01,1.01,,,5808,,
Kepler-604 b,,0.231,25.85501786,,,,2016,Primary Transit,Kepler-604,-0.02,1.02,1.03,,,5890,,
Kepler-605 b,,0.128,3.38353807,,,,2016,Primary Transit,Kepler-605,0.02,0.91,0.88,,,5462,,
Kepler-605 c,,0.077,2.35895152,,,,2016,Primary Transit,Kepler-605,0.02,0.91,0.88,,,5462,,
Kepler-606 b,,0.295,24.31575992,,,,2016,Primary Transit,Kepler-606,0.01,1.13,1.22,,,6161,,
Kepler-607 b,,0.078,0.6381632,,,,2016,Primary Transit,Kepler-607,-0.02,0.84,0.8,,,5196,,
Kepler-608 b,,0.325,6.41251504,,,,2016,Primary Transit,Kepler-608,-0.02,1,1.01,,,5820,,
Kepler-609 b,,0.299,6.52121067,,,,2016,Primary Transit,Kepler-609,0.06,1.09,1.14,,,5971,,
Kepler-61 b,,0.192,59.87756,0.27,0.25,89.8,2012,Primary Transit,Kepler-61,0.03,0.635,0.62,K7V,1,4017,,
Kepler-610 b,,0.374,6.99692655,,,,2016,Primary Transit,Kepler-610,0.12,1.1,1.13,,,5943,,
Kepler-610 c,,0.294,151.86392,,,,2016,Primary Transit,Kepler-610,0.12,1.1,1.13,,,5943,,
Kepler-611 b,,0.147,2.4370333,,,,2016,Primary Transit,Kepler-611,0.06,1.01,1.01,,,5761,,
Kepler-612 b,,0.253,3.72215641,,,,2016,Primary Transit,Kepler-612,0.04,0.98,0.96,,,5693,,
Kepler-613 b,,0.204,15.77979614,,,,2016,Primary Transit,Kepler-613,-0.01,0.98,0.96,,,5723,,
Kepler-614 b,,0.213,14.03491514,,,,2016,Primary Transit,Kepler-614,-0.07,0.85,0.81,,,5268,,
Kepler-615 b,,0.155,10.35584657,,,,2016,Primary Transit,Kepler-615,-0.07,0.73,0.69,,,4655,,
Kepler-616 b,,0.217,9.99761851,,,,2016,Primary Transit,Kepler-616,-0.02,0.98,0.97,,,5753,,
Kepler-616 c,,0.304,90.4113556,,,,2016,Primary Transit,Kepler-616,-0.02,0.98,0.97,,,5753,,
Kepler-617 b,,0.118,1.68269615,,,,2016,Primary Transit,Kepler-617,-0.07,0.51,0.48,,,3712,,
Kepler-618 b,,0.232,3.59576964,,,,2016,Primary Transit,Kepler-618,0.08,1.05,1.08,,,5860,,
Kepler-619 b,,0.282,5.4042722,,,,2016,Primary Transit,Kepler-619,0.05,1.09,1.11,,,5980,,
Kepler-619 c,,0.151,1.20846503,,,,2016,Primary Transit,Kepler-619,0.05,1.09,1.11,,,5980,,
Kepler-62 b,0.028,0.117,5.714932,0.0553,,89.2,2013,Primary Transit,Kepler-62,-0.21,0.69,0.63,K2V,,4869,,
Kepler-62 c,0.0126,0.048,12.4417,0.0929,,89.7,2013,Primary Transit,Kepler-62,-0.21,0.69,0.63,K2V,,4869,,
Kepler-62 d,0.044,0.174,18.16406,0.12,,89.7,2013,Primary Transit,Kepler-62,-0.21,0.69,0.63,K2V,,4869,,
Kepler-62 e,0.113,0.144,122.3874,0.427,,89.98,2013,Primary Transit,Kepler-62,-0.21,0.69,0.63,K2V,,4869,,
Kepler-62 f,0.11,0.126,267.291,0.718,,89.9,2013,Primary Transit,Kepler-62,-0.21,0.69,0.63,K2V,,4869,,
Kepler-620 b,,0.296,12.91375431,,,,2016,Primary Transit,Kepler-620,0.03,1.15,1.22,,,6155,,
Kepler-621 b,,0.205,2.62811375,,,,2016,Primary Transit,Kepler-621,-0.02,0.72,0.68,,,4521,,
Kepler-622 b,,0.19,14.28226676,,,,2016,Primary Transit,Kepler-622,-0.09,0.64,0.61,,,4201,,
Kepler-623 b,,0.269,9.07097734,,,,2016,Primary Transit,Kepler-623,-0.03,0.9,0.86,,,5443,,
Kepler-624 b,,0.206,14.58649607,,,,2016,Primary Transit,Kepler-624,-0.06,1.1,1.18,,,6117,,
Kepler-625 b,,0.178,7.75192492,,,,2016,Primary Transit,Kepler-625,0.1,1.04,0.96,,,5789,,
Kepler-625 c,,0.094,4.1653651,,,,2016,Primary Transit,Kepler-625,0.1,1.04,0.96,,,5789,,
Kepler-626 b,,0.204,14.48585199,,,,2016,Primary Transit,Kepler-626,0.01,1.01,1.05,,,5813,,
Kepler-627 b,,0.333,40.6994443,,,,2016,Primary Transit,Kepler-627,0.05,1.3,1.49,,,6424,,
Kepler-628 b,,0.749,15.4580567,,,,2016,Primary Transit,Kepler-628,0.04,1,1.28,,,5721,,
Kepler-629 b,,0.123,7.2385854,,,,2016,Primary Transit,Kepler-629,0.01,0.93,0.84,,,5444,,
Kepler-63 b,,0.545,9.4341505,0.08,,87.806,2013,Primary Transit,TYC 3550-458-1,0.05,0.984,0.901,,,5576,,
Kepler-630 b,,0.284,161.4743937,,,,2016,Primary Transit,Kepler-630,0.03,1.02,1.04,,,5829,,
Kepler-631 b,,0.259,17.97979059,,,,2016,Primary Transit,Kepler-631,0.23,1.24,1.33,,,6185,,
Kepler-632 b,,0.197,30.99660733,,,,2016,Primary Transit,Kepler-632,0.11,0.91,0.84,,,5322,,
Kepler-633 b,,0.145,8.50340718,,,,2016,Primary Transit,Kepler-633,-0.05,1.02,1.15,,,5899,,
Kepler-634 b,,0.169,5.16950177,,,,2016,Primary Transit,Kepler-634,-0.18,1.03,1.24,,,6075,,
Kepler-635 b,,0.236,23.44971004,,,,2016,Primary Transit,Kepler-635,0.41,1.33,1.51,,,6174,,
Kepler-636 b,,0.397,16.08066115,,,,2016,Primary Transit,Kepler-636,-0.02,0.85,0.8,,,5203,,
Kepler-637 b,,0.424,23.20584623,,,,2016,Primary Transit,Kepler-637,0.38,1.64,2.56,,,6096,,
Kepler-638 b,,0.163,6.07972888,,,,2016,Primary Transit,Kepler-638,0.04,0.88,0.93,,,5382,,
Kepler-639 b,,0.212,10.21420496,,,,2016,Primary Transit,Kepler-639,0.23,1.14,1.29,,,5896,,
Kepler-64 (AB) b,0.53,0.553,138.506,0.634,0.0539,90,2013,Primary Transit,Kepler-64 (AB),,1.93,1.7,F+M,,,,
Kepler-640 b,,0.228,22.24813967,,,,2016,Primary Transit,Kepler-640,0.15,1.01,0.94,,,5653,,
Kepler-641 b,,0.165,9.48961571,,,,2016,Primary Transit,Kepler-641,0.15,1.02,1.13,,,5713,,
Kepler-642 b,,0.259,4.41745855,,,,2016,Primary Transit,Kepler-642,0.06,1.4,1.66,,,6570,,
Kepler-643 b,,0.906,16.33889626,,,,2016,Primary Transit,Kepler-643,0.13,1,2.52,,,4908,,
Kepler-644 b,,0.281,3.1739171,,,,2016,Primary Transit,Kepler-644,0.08,1.49,1.81,,,6747,,
Kepler-645 b,,0.187,3.27582262,,,,2016,Primary Transit,Kepler-645,-0.01,1.13,1.21,,,6170,,
Kepler-646 b,,0.178,15.87364565,,,,2016,Primary Transit,Kepler-646,-0.07,0.93,0.91,,,5634,,
Kepler-647 b,,0.104,16.2254649,,,,2016,Primary Transit,Kepler-647,-0.14,1.03,1.07,,,6020,,
Kepler-648 b,,0.287,17.4211749,,,,2016,Primary Transit,Kepler-648,0.21,1.05,0.98,,,5741,,
Kepler-649 b,,0.202,29.90722674,,,,2016,Primary Transit,Kepler-649,-0.17,0.97,0.94,,,5871,,
Kepler-65 b,,0.1257,2.1549156,0.035,0.02,,2013,Primary Transit,Kepler-65,0.17,1.199,1.399,B,3.89,6211,,
Kepler-65 c,0.084,0.2294,5.8599408,0.068,0.08,,2013,Primary Transit,Kepler-65,0.17,1.199,1.399,B,3.89,6211,,
Kepler-65 d,,0.1344,8.131231,0.084,0.1,,2013,Primary Transit,Kepler-65,0.17,1.199,1.399,B,3.89,6211,,
Kepler-650 b,,0.264,3.03214559,,,,2016,Primary Transit,Kepler-650,0.13,1.08,1.35,,,5849,,
Kepler-651 b,,0.211,21.38521506,,,,2016,Primary Transit,Kepler-651,-0.04,0.92,0.87,,,5522,,
Kepler-652 b,,0.222,4.18200253,,,,2016,Primary Transit,Kepler-652,0.17,0.97,0.88,,,5490,,
Kepler-653 b,,0.174,14.70748976,,,,2016,Primary Transit,Kepler-653,0.23,1.02,1.19,,,5665,,
Kepler-653 c,,0.07,0.90037648,,,,2016,Primary Transit,Kepler-653,0.23,1.02,1.19,,,5665,,
Kepler-654 b,,0.185,13.72465129,,,,2016,Primary Transit,Kepler-654,0.04,1.04,1.11,,,5865,,
Kepler-655 b,,0.242,46.4063358,,,,2016,Primary Transit,Kepler-655,0,1.15,1.24,,,6170,,
Kepler-656 b,,0.278,1.26025909,,,,2016,Primary Transit,Kepler-656,-0.04,0.86,0.82,,,5281,,
Kepler-657 b,,0.314,24.54350418,,,,2016,Primary Transit,Kepler-657,0.03,1.01,1.01,,,5808,,
Kepler-658 b,,0.145,1.28707676,,,,2016,Primary Transit,Kepler-658,-0.04,0.63,0.6,,,4103,,
Kepler-659 b,,0.223,17.671796,,,,2016,Primary Transit,Kepler-659,0.02,0.79,0.74,,,4870,,
Kepler-66 b,0.31,0.25,17.815815,0.1352,,,2013,Primary Transit,Kepler-66,0.012,1.038,0.966,GOV,1,5962,,
Kepler-660 b,,0.229,9.27358194,,,,2016,Primary Transit,Kepler-660,-0.07,0.75,0.71,,,4779,,
Kepler-661 b,,0.274,6.02930132,,,,2016,Primary Transit,Kepler-661,-0.05,0.7,0.67,,,4483,,
Kepler-662 b,,0.194,21.67697486,,,,2016,Primary Transit,Kepler-662,-0.03,0.79,0.74,,,4897,,
Kepler-663 b,,0.232,4.99678284,,,,2016,Primary Transit,Kepler-663,0.03,0.86,0.82,,,5264,,
Kepler-664 b,,0.237,2.52559332,,,,2016,Primary Transit,Kepler-664,0.07,1.01,1.02,,,5754,,
Kepler-665 b,,0.232,16.01310205,,,,2016,Primary Transit,Kepler-665,-0.03,0.79,0.74,,,4913,,
Kepler-666 b,,0.214,4.49876092,,,,2016,Primary Transit,Kepler-666,0.01,1.03,1.05,,,5887,,
Kepler-667 b,,0.422,41.43962808,,,,2016,Primary Transit,Kepler-667,0.15,0.91,0.87,,,5327,,
Kepler-668 b,,0.241,8.35390639,,,,2016,Primary Transit,Kepler-668,-0.06,0.87,0.82,,,5352,,
Kepler-669 b,,0.431,4.12554687,,,,2016,Primary Transit,Kepler-669,0.14,1.15,1.2,,,6038,,
Kepler-67 b,0.31,0.26,15.7259,0.1171,,,2013,Primary Transit,Kepler-67,0.012,0.865,0.778,G9V,1,5331,,
Kepler-670 b,,1.176,2.81650485,,,,2016,Primary Transit,Kepler-670,0.07,0.99,0.99,,,5709,,
Kepler-671 b,,0.24,4.28095859,,,,2016,Primary Transit,Kepler-671,0.08,0.97,0.95,,,5624,,
Kepler-672 b,,0.223,38.3774623,,,,2016,Primary Transit,Kepler-672,-0.01,0.95,0.92,,,5627,,
Kepler-673 b,,0.583,3.72873109,,,,2016,Primary Transit,Kepler-673,0,0.88,0.84,,,5355,,
Kepler-674 b,,0.151,2.24338185,,,,2016,Primary Transit,Kepler-674,-0.27,0.6,0.57,,,4192,,
Kepler-675 b,,0.218,2.33743801,,,,2016,Primary Transit,Kepler-675,-0.05,0.79,0.75,,,4945,,
Kepler-676 b,,0.271,11.59822172,,,,2016,Primary Transit,Kepler-676,-0.02,0.51,0.49,,,3701,,
Kepler-677 b,,0.48,6.57531678,,,,2016,Primary Transit,Kepler-677,0.06,1,0.99,,,5723,,
Kepler-678 b,,0.459,7.27503724,,,,2016,Primary Transit,Kepler-678,0.07,0.94,0.91,,,5520,,
Kepler-679 b,,0.269,12.39358604,,,,2016,Primary Transit,Kepler-679,-0.09,0.87,0.84,,,5403,,
