# name,mass (Mjup),Radio (Rjup),Periodo (dias),Semi eje (ua),Excen,inclination,Año,Metodo,Nombre estr,Metalicidad,Masa estr (Msol),Radio (Rsol),Tipo espectral,Edad (gyr),Teff,Disco detectado,Campo magnetico
FW Tau b,10,,,330,,,2013,Imaging,FW Tau,,0.26,,M4,0.0018,3270,,
Fomalhaut b,3,,320000,115,0.11,,2008,Imaging,Fomalhaut,,1.92,1.842,A3 V,0.44,8590,Imaging,
GJ 1132 b,0.0051,0.103,1.62893,0.0154,0,,2015,Primary Transit,GJ 1132,-0.12,0.181,0.207,M3.5,5,3270,,
GJ 1214 b,0.020325331,0.23820187,1.58040482,0.01411,0.27,88.17,2009,Primary Transit,GJ 1214,0.39,0.15,0.216,M,6,3026,,
GJ 15 A b,0.016832898,,11.4433,0.0717,0,,2014,Radial Velocity,GJ 15 A,-0.32,0.375,0.3863,M2V,,3567,,
GJ 160.2 b,0.032092628,,5.2354,0.053,0.06,,2014,Radial Velocity,GJ 160.2,,0.69,,M0V,,4347,,
GJ 163 b,0.0334,,8.633,0.06069,0.0106,,2012,Radial Velocity,GJ 163,,0.4,,M3.5,3,,,
GJ 163 c,0.02285,,25.645,0.1254,0.094,,2012,Radial Velocity,GJ 163,,0.4,,M3.5,3,,,
GJ 163 d,0.06945,,600.895,1.02689,0.399,,2013,Radial Velocity,GJ 163,,0.4,,M3.5,3,,,
GJ 176 b,0.0265,,8.7836,0.066,0,,2007,Radial Velocity,GJ 176,-0.1,0.49,0.53,M2.5V,,,,
GJ 179 b,0.82,,2288,2.41,0.21,,2010,Radial Velocity,GJ 179,0.3,0.357,0.38,M3.5,,3370,,
GJ 180 b,0.02611459,,17.38,0.103,0.11,,2014,Radial Velocity,GJ 180,,0.43,,M2V,,3371,,
GJ 180 c,0.020136551,,24.329,0.129,0.09,,2014,Radial Velocity,GJ 180,,0.43,,M2V,,3371,,
GJ 229 A b,0.100682755,,471,0.97,0.1,,2014,Radial Velocity,GJ 229 A,,0.58,,M1 V,,3564,,
GJ 229 B,35,,,,,,1995,Imaging,GJ 229 A,,0.58,,M1 V,,3564,,
GJ 27.1 b,0.040902369,,15.819,0.101,0.08,,2014,Radial Velocity,GJ 27.1,,0.53,,M0.5V,,3542,,
GJ 273 b,0.00909,,18.6498,0.091101,0.1,,2017,Radial Velocity,GJ 273,0.09,0.29,0.293,M3.5,,3382,,
GJ 273 c,0.00371,,4.7234,0.036467,0.17,,2017,Radial Velocity,GJ 273,0.09,0.29,0.293,M3.5,,3382,,
GJ 3021 b,3.37,,133.71,0.49,0.511,,2000,Radial Velocity,GJ 3021,0.1,0.9,0.9,G6 V,8.77,5540,,
GJ 3138 b,0.0132,,5.974,0.057,0.11,,2017,Radial Velocity,GJ 3138,-0.3,0.681,0.5,M0,,3717,,
GJ 3138 c,0.0056,,1.22003,0.0197,0.19,,2017,Radial Velocity,GJ 3138,-0.3,0.681,0.5,M0,,3717,,
GJ 3138 d,0.033,,257.8,0.698,0.32,,2017,Radial Velocity,GJ 3138,-0.3,0.681,0.5,M0,,3717,,
GJ 317 b,2.56,,692,1.148,0.11,45,2007,Radial Velocity,GJ 317,0.36,0.42,,M3.5,,3510,,
GJ 317 c,2,,7300,30,0.81,,2007,Radial Velocity,GJ 317,0.36,0.42,,M3.5,,3510,,
GJ 328 b,2.3,,4100,4.5,0.37,,2013,Radial Velocity,GJ 328,0,0.69,,K7,,3900,,
GJ 3293 b,0.07406,,30.5987,0.14339,0.06,,2014,Radial Velocity,GJ 3293,0.02,0.42,0.404,M2.5,,3466,,
GJ 3293 c,0.06636,,122.6196,0.36175,0.11,,2014,Other,GJ 3293,0.02,0.42,0.404,M2.5,,3466,,
GJ 3293 d,0.024,,48.1345,0.194,0.12,,2014,Radial Velocity,GJ 3293,0.02,0.42,0.404,M2.5,,3466,,
GJ 3293 e,0.0103,,13.2543,0.0821,0.21,,2017,Radial Velocity,GJ 3293,0.02,0.42,0.404,M2.5,,3466,,
GJ 3323 b,0.00636,,5.3636,0.03282,0.23,,2017,Radial Velocity,GJ 3323,-0.27,0.164,0.119,M4,,3159,,
GJ 3323 c,0.00727,,40.54,0.1264,0.17,,2017,Radial Velocity,GJ 3323,-0.27,0.164,0.119,M4,,3159,,
GJ 3341 b,0.35717,,14.207,0.089,0.31,,2014,Radial Velocity,GJ 3341,-0.09,0.47,0.349,M2.5,,3526,,
GJ 3470 b,0.043753329,0.373807429,3.33671,0.03557,,88.3,2012,Primary Transit,GJ 3470,0.2,0.539,0.55,M1.5,1,3600,,
GJ 3634 b,0.026,,2.64561,0.0287,0.08,59,2011,Radial Velocity,GJ 3634,,0.45,0.43,M2.5,,,,
GJ 3998 b,0.00777,,2.64977,0.029,0,,2016,Radial Velocity,GJ 3998,-0.16,0.5,0.49,M1,,3722,,
GJ 3998 c,0.0197,,13.74,0.089,0.049,,2016,Radial Velocity,GJ 3998,-0.16,0.5,0.49,M1,,3722,,
GJ 422 b,0.031148727,,26.161,0.119,0.05,,2014,Radial Velocity,GJ 422,,0.35,,M3.5V,,3323,,
GJ 433 b,0.01667,,7.3697,0.06,0.05,,2009,Radial Velocity,GJ 433,-0.22,0.48,,M1.5,,3600,,
GJ 433 c,0.14,,3693,3.6,0.17,,2012,Radial Velocity,GJ 433,-0.22,0.48,,M1.5,,3600,,
GJ 436 b,0.07,0.38,2.64394,0.02887,0.1912,85.8,2004,Primary Transit,GJ 436,-0.32,0.452,0.464,M2.5,6,3684,,
GJ 504 b,4,0.96,,43.5,,,2013,Imaging,GJ 504,0.28,1.22,,GOV,0.16,6234,,
GJ 536 b,0.0169,,8.7076,0.06661,0.08,,2016,Radial Velocity,GJ 536,-0.08,0.52,0.5,M1,,3685,,
GJ 570 D,42.5,0.855,,1500,,,,Imaging,GJ 570 ABC,0.06,0.802,,K4/M1/M3,,4758,,
GJ 581 b,0.05,,5.36865,0.041,0.031,,2005,Radial Velocity,GJ 581,-0.135,0.31,0.3,M2.5V,8,3498,Imaging,
GJ 581 c,0.017,,12.9182,0.073,0.07,,2007,Radial Velocity,GJ 581,-0.135,0.31,0.3,M2.5V,8,3498,Imaging,
GJ 581 e,0.0061,,3.14945,0.028,0.32,,2009,Radial Velocity,GJ 581,-0.135,0.31,0.3,M2.5V,8,3498,Imaging,
GJ 625 b,0.0095,,14.638,0.078399,0.13,,2017,Radial Velocity,GJ 625,-0.38,0.3,0.31,M2,,3499,,
GJ 649 b,0.328,,598.3,1.135,0.3,,2009,Radial Velocity,GJ 649,0.08,0.54,,M1.5,,3700,,
GJ 649 c,0.03,,4.4762,0.043,0.2,,2013,Radial Velocity,GJ 649,0.08,0.54,,M1.5,,3700,,
GJ 667 C b,0.0176,,7.2004,0.0505,0.13,,2009,Radial Velocity,GJ 667 C,-0.55,0.33,,M1.5V,2,3600,,
GJ 667 C c,0.012,,28.14,0.125,0.02,,2011,Radial Velocity,GJ 667 C,-0.55,0.33,,M1.5V,2,3600,,
GJ 667 C d,0.01604,,91.61,0.276,0.03,,2012,Radial Velocity,GJ 667 C,-0.55,0.33,,M1.5V,2,3600,,
GJ 667 C e,0.0085,,62.24,0.213,0.02,,2013,Radial Velocity,GJ 667 C,-0.55,0.33,,M1.5V,2,3600,,
GJ 667 C f,0.0085,,39.026,0.156,0.03,,2013,Radial Velocity,GJ 667 C,-0.55,0.33,,M1.5V,2,3600,,
GJ 667 C g,0.0145,,256.2,0.549,0.08,,2013,Radial Velocity,GJ 667 C,-0.55,0.33,,M1.5V,2,3600,,
