,# NAME,Metodo,No de planetas,Periodo (dias),Semi eje (ua),Excen,inclination,mass (Mjup),B5,Radio tierra,Radio (Rjup),B7,Densidad pl gr/cm^3,A├▒o,Teff,Masa estr (Msol),Radio (Rsol),Tipo espectral,Densidad estr (gr/cm^3),Metalicidad,Raz├│n de metalicidad,Edad (gyr),Unnamed: 25
27,42 DRA B,Radial Velocity,,479.1,1.19,0.38,,3.88,,,,,,2009,4200,0.98,22.03,K1.5III,,-0.46,,9.49,
28,47 UMA B,Radial Velocity,,1078,2.1,0.032,,2.53,,,,,,1996,5892,1.03,1.24,G0V,,0,,7.4,
29,47 UMA C,Radial Velocity,,2391,3.6,0.098,,0.54,,,,,,2001,5892,1.03,1.24,G0V,,0,,7.4,
30,47 UMA D,Radial Velocity,,14002,11.6,0.16,,1.64,,,,,,2010,5892,1.03,1.24,G0V,,0,,7.4,
31,51 ERI B,Imaging,,14965,14,0.21,138,9.1,,,1.11,,,2015,,1.75,,F0IV,,-0.027,,0.02,
32,51 PEG B,Radial Velocity,,4.2308,0.052,0.0069,80,0.47,,,1.9,,,1995,5793,1.11,1.266,G2 IV,,0.2,,4,
33,55 CNC B,Radial Velocity,,14.65314,0.11339,0.0023,89.73,0.84,,,,,,1996,5196,0.905,0.943,K0IV-V,,0.31,,10.2,
34,55 CNC C,Radial Velocity,,44.373,0.23735,0.072,,0.1784,,,,,,2002,5196,0.905,0.943,K0IV-V,,0.31,,10.2,
35,55 CNC D,Radial Velocity,,4867,5.446,0.0269,,3.86,,,,,,2002,5196,0.905,0.943,K0IV-V,,0.31,,10.2,
36,55 CNC E,Primary Transit,,0.7365478,0.015439,0.028,90.36,0.02547,,,0.177536225,,,2004,5196,0.905,0.943,K0IV-V,,0.31,,10.2,
37,55 CNC F,Radial Velocity,,260.91,0.7733,0.08,,0.1479,,,,,,2007,5196,0.905,0.943,K0IV-V,,0.31,,10.2,
38,6 LYN B,Radial Velocity,,899,2.2,0.134,2,69,,,,,,2008,4978,1.7,5.2,K0IV,,-0.13,,,
39,61 VIR B,Radial Velocity,,4.215,0.050201,0.12,,0.016,,,,,,2009,5531,0.95,0.94,G5V,,-0.01,,8.96,
40,61 VIR C,Radial Velocity,,38.021,0.2175,0.14,,0.0573,,,,,,2009,5531,0.95,0.94,G5V,,-0.01,,8.96,
41,61 VIR D,Radial Velocity,,123.01,0.476,0.35,,0.072,,,,,,2009,5531,0.95,0.94,G5V,,-0.01,,8.96,
42,7 CMA B,Radial Velocity,,796,1.93,0.22,,2.46,,,,,,2011,4792,1.52,2.3,K1 III,,0.21,,,
43,70 VIR B,Radial Velocity,,116.67,0.48,0.43,,6.6,,,,,,1996,5432,0.92,1.968,G4 V,,-0.11,,7.09,
44,75 CET B,Radial Velocity,,691.9,2.1,,,3,,,,,,2012,4846,2.49,10.5,G3III,,0,,,
45,8 UMI B,Radial Velocity,,93.4,0.49,0.06,,1.5,,,,,,2015,4847.4,1.8,9.9,K0,,-0.03,,1.7,
46,81 CET B,Radial Velocity,,952.7,2.5,0.206,,5.3,,,,,,2008,,2.4,11,G5III,,-0.06,,,
47,91 AQR B,Radial Velocity,,181.4,0.7,0.027,,3.2,,,,,,2003,4665,1.4,11,K0 III,,-0.03,,3.56,
48,AB PIC B,Imaging,,,275,,,13.5,,,,,,2005,4875,,,K2 V,,-0.64,,0.03,
49,AS 205 A B,Radial Velocity,,24.84,0.162,0.35,,19.25,,,,,,2017,4300,0.9,3.7,K5,,0,,,
50,ALDEBARAN B,Radial Velocity,,628.96,1.46,0.1,,6.47,,,,,,1998,4055,1.13,45.1,K5III,,-0.27,,6.6,
51,BD+03 2562 B,Radial Velocity,,481.9,1.3,0.2,,6.4,,,,,,2017,4095,1.14,32.35,,,-0.71,,5.25,
52,BD+14 4559 B,Radial Velocity,,268.94,0.777,0.29,,1.47,,,,,,2009,5008,0.86,,K2V,,0.1,,,
53,BD+15 2375 B,Radial Velocity,,153.22,0.576,0.001,,1.06,,,,,,2016,4649,1.08,8.95,,,-0.22,,7.4,
54,BD+15 2940 B,Radial Velocity,,137.48,0.539,0.26,,1.11,,,,,,2013,4796,1.1,14.7,K0,,0.28,,7.1,
55,BD+20 1790 B,Other,,7.78287,0.066,0.22,,6.37,,,,,,2009,4410,0.63,0.71,K5V,,0.3,,0.057,
56,BD+20 2457 B,Radial Velocity,,379.63,1.45,0.15,,21.42,,,,,,2009,4127,2.8,,K2II,,-1,,,
57,BD+20 2457 C,Radial Velocity,,621.99,2.01,0.18,,12.47,,,,,,2009,4127,2.8,,K2II,,-1,,,
58,BD+20 274 C,Radial Velocity,,578.2,1.3,,,4.2,,,,,,2012,4296,0.8,17.3,K5,,-0.46,,,
59,BD+20 594 B,Primary Transit,,41.6855,0.241,0,89.55,0.0513,,,0.199,,,2016,5766,0.961,0.928,K0 ,,-0.15,,3.34,
60,BD+24 4697 B,Radial Velocity,,145.081,0.5,0.50048,,53,,,,,,2016,5077,0.75,,,,-0.11,,,
61,BD+26 1888 B,Radial Velocity,,536.78,1.19,0.2675,,26,,,,,,2016,4748,0.76,,K7,,0.02,,,
62,BD+48 738 B,Radial Velocity,,392.6,1,0.2,,0.91,,,,,,2011,4414,0.74,11,K0III,,-0.2,,,
63,BD+49 828 B,Radial Velocity,,2590,4.2,0.35,,1.6,,,,,,2015,4943,1.52,7.6,KO,,-0.19,,2.3,
64,BD-06 1339 B,Radial Velocity,,3.8728,0.0428,0,,0.027,,,,,,2013,4324,0.7,,K7V/M0V,,-0.14,,4.4,
65,BD-06 1339 C,Radial Velocity,,125.94,0.435,0,,0.17,,,,,,2013,4324,0.7,,K7V/M0V,,-0.14,,4.4,
66,BD-06 1339 D,Radial Velocity,,500,1.06,0.04,,0.091,,,,,,2014,4324,0.7,,K7V/M0V,,-0.14,,4.4,
67,BD-08 2823 B,Radial Velocity,,5.6,0.056,0.15,,0.045,,,,,,2009,4746,0.74,,K3V,,-0.07,,4.5,
68,BD-08 2823 C,Radial Velocity,,237.6,0.68,0.19,,0.33,,,,,,2009,4746,0.74,,K3V,,-0.07,,4.5,
69,BD-10 3166 B,Radial Velocity,,3.4878,0.046,0.0104,,0.46,,,1.03,,,2000,5400,0.99,1.71,G4 V,,0.5,,4.18,
70,BD-11 4672 B,Radial Velocity,,1667,2.28,0.05,,0.53,,,,,,2010,4475,0.571,0.52,K7V,,-0.48,,4.4,
71,BD-17 63 B,Radial Velocity,,655.6,1.34,0.54,,5.1,,,,,,2008,4714,0.74,0.69,K5V,,-0.03,,4.3,
72,CD-35 2722 B,Imaging,,,67,,,31,,,,,,2011,3680,0.4,,M1V,,0.04,,0.1,
73,CFBDS 1458 ,Imaging,,,,,,25.2,,,,,,2010,560,0.024,,T9.5,,,,3,
74,CFBDS 1458 B,Imaging,,14227,2.6,,,10.5,,,,,,2011,560,0.024,,T9.5,,,,3,
75,CFBDSIR J2149-0403,Imaging,,,,,,21,,,,,,2017,,,,T7,,,,,
76,CHXR 73 B,Imaging,,,200,,,12,,,,,,2006,,0.35,,M3.25,,,,0.002,
77,CI TAU B,Radial Velocity,,8.9965,,,45.7,12.31,,,,,,2016,,0.8,,K4IV,,,,0.002,
78,CT CHA B,Imaging,,,440,,,17,,,2.2,,,2008,,,,K7,,,,0.002,
79,CVSO 30 B ,Primary Transit,,0.448413,0.00838,,61.8,6.2,,,1.91,,,2012,3740,0.39,1.39,M3 PMS,,,,0.00265,
80,CVSO 30 C,Imaging,,,662,,,4.7,,,1.63,,,2016,3740,0.39,1.39,M3 PMS,,,,0.00265,
81,COROT-1 B,Primary Transit,,1.5089557,0.0254,0,85.1,1.03,,,1.49,,,2007,6298,0.95,1.11,G0V,,0.06,,,
82,COROT-10 B,Primary Transit,,13.2406,0.1055,0.53,88.55,2.75,,,0.97,,,2010,5075,0.89,0.79,K1V,,0.26,,3,
83,COROT-11 B,Primary Transit,,2.994325,0.04351,0,81.41,2.33,,,1.43,,,2010,6343,1.27,1.36,F6V,,0.04,,2,
84,COROT-12 B,Primary Transit,,2.828042,0.04016,0.07,85.48,0.917,,,1.44,,,2010,5675,1.078,1.116,G2V,,0.16,,6.3,
85,COROT-13 B,Primary Transit,,4.03519,0.051,0,88.02,1.308,,,0.885,,,2010,5945,1.09,1.01,G0V,,0.01,,1.64,
86,COROT-14 B,Primary Transit,,1.51214,0.027,0,79.6,7.6,,,1.09,,,2010,6035,1.13,1.21,F9V,,0.05,,4.2,
87,COROT-15 B,Primary Transit,,3.06036,0.045,0,86.7,63.4,,,1.12,,,2010,,,,F7V,,,,,
88,COROT-16 B,Primary Transit,,5.35227,0.0618,0.33,85.01,0.535,,,1.17,,,2010,5650,1.098,1.19,G5V,,0.19,,6.73,
89,COROT-17 B,Primary Transit,,3.768125,0.0461,0,88.34,2.43,,,1.02,,,2010,5740,1.04,1.59,G2V,,0,,10.7,
90,COROT-18 B,Primary Transit,,1.9000693,0.0295,0.08,86.5,3.47,,,1.31,,,2011,5440,0.95,1,G9V,,-0.1,,,
91,COROT-19 B,Primary Transit,,3.89713,0.0518,0.047,87.61,1.11,,,1.29,,,2011,6090,1.21,1.65,F9V,,-0.02,,5,
92,COROT-2 B,Primary Transit,,1.7429964,0.0281,0,87.84,3.31,,,1.465,,,2007,5575,0.97,0.902,G7V,,-0.04,,,
93,COROT-20 B,Primary Transit,,9.24285,0.0902,0.562,88.21,4.24,,,0.84,,,2011,5880,1.14,0.92,G2V,,0.14,,0.1,
94,COROT-21 B,Primary Transit,,2.72474,0.0417,0,86.8,2.26,,,1.3,,,2011,6200,1.29,1.945,F8IV,,0,,4.1,
95,COROT-22 B,Primary Transit,,9.75598,0.092,0.077,89.749,0.0383853,,,0.435365216,,,2011,5939,1.099,1.136,G0IV,,0.17,,3.3,
96,COROT-23 B,Primary Transit,,3.6314,0.0477,0.16,85.7,2.8,,,1.08,,,2011,5900,1.14,1.61,G0V,,0.05,,7.2,
97,COROT-24 B,Primary Transit,,5.1134,0.056,0,86.5,0.018,,,0.33,,,2011,4950,0.91,0.86,K1V,,0.3,,11,
98,COROT-24 C,Primary Transit,,11.759,0.098,0,89,0.088,,,0.44,,,2011,4950,0.91,0.86,K1V,,0.3,,11,
99,COROT-25 B,Primary Transit,,4.86069,0.0578,,84.5,0.27,,,1.08,,,2012,6040,1.09,1.19,G0V,,-0.01,,5.2,
100,COROT-26 B,Primary Transit,,4.20474,0.0526,0,86.8,0.52,,,1.26,,,2012,5590,1.09,1.79,G8IV,,0.01,,8.6,
101,COROT-27 B,Primary Transit,,3.57532,0.0476,0.065,86.7,10.39,,,1.007,,,2012,5900,1.05,1.08,G2,,0.1,,4.21,
102,COROT-28 B,Primary Transit,,5.20851,0.059,0.047,,0.484,,,0.955,,,2012,5150,1.01,1.78,G8/9IV,,0.15,,12,
103,COROT-29 B,Primary Transit,,2.85057,0.039,0.082,87.3,0.85,,,0.9,,,2012,5260,0.976,0.9,KOV,,0.2,,4.5,
104,COROT-3 B,Primary Transit,,4.2567994,0.057,0,85.9,21.77,,,1.01,,,2008,6558,1.41,1.44,F3V,,0.14,,2,
105,COROT-33 B,Primary Transit,,5.819143,0.0579,0.07,85.5,59.2,,,1.1,,,2015,5225,0.86,0.94,G9V,,0.44,,4.6,
106,COROT-4 B,Primary Transit,,9.20205,0.09,0,90,0.72,,,1.19,,,2008,6190,1.1,1.15,F8V,,0.05,,1,
107,COROT-5 B,Primary Transit,,4.0378962,0.04947,0.09,85.83,0.467,,,1.33,,,2008,6100,1,1.186,F9V,,-0.25,,6.9,
108,COROT-6 B,Primary Transit,,8.886593,0.0855,0.1,89.07,2.96,,,1.166,,,2009,6090,1.055,1.025,F9V,,-0.2,,,
109,COROT-7 B,Primary Transit,,0.853585,0.0172,0.12,80.1,0.0149,,,0.136,,,2009,5313,0.93,0.87,K0V,,0.03,,1.5,
110,COROT-7 C,Radial Velocity,,3.698,0.046,0.12,,0.04266,,,,,,2009,5313,0.93,0.87,K0V,,0.03,,1.5,
111,COROT-8 B,Primary Transit,,6.21229,0.063,0,88.4,0.215838656,,,0.569186492,,,2010,5080,0.88,0.77,K1V,,0.3,,3,
112,COROT-9 B,Primary Transit,,95.273804,0.407,0.11,89.9,0.84,,,0.94,,,2010,5625,0.99,0.94,G3V,,-0.01,,4,
113,DE0823-49 B,Imaging,,247.75,0.36,0.36,52.2,31.5,,,,,,2013,2150,0.045,,,,,,0.1,
114,DH TAU B,Imaging,,,330,,,11,,,,,,2005,,0.37,,M0.5V,,,,0.001,
115,DP LEO B,Pulsar,,10230,8.19,0.39,,6.05,,,,,,2009,,0.69,,AM Her,,,,,
116,DW LYN B,Radial Velocity,,,1148,,,5.58,,,,,,2013,,,,SdB D,,,,,
117,DW UMA B,Other,,4967,5.8,,,10.06,,,,,,2016,,,,M3,,,,,
118,EPIC 201295312 B,Primary Transit,,5.65639,,0.12,86.6,0.0379,,,0.245,,,2016,5830,1.13,1.52,,,0.13,,,
119,EPIC 201445392 C,Primary Transit,,2.50856,,,,,,,0.215,,,2015,4890,0.79,0.74,,,-0.01,,,
120,EPIC 201637175 B,Primary Transit,,0.381071,0.0088,,,1.4,,,0.25,,,2015,3830,0.6,0.57,M0V,,0.03,,,
121,EPIC 201713348 B,Primary Transit,,1.42266,,,,,,,0.118,,,2015,4924,0.8,0.74,,,-0.03,,,
122,EPIC 201713348 C,Primary Transit,,5.34059,,,,,,,0.25,,,2015,4924,0.8,0.74,,,-0.03,,,
123,EPIC 203826436 B,Primary Transit,,4.44117,,,,,,,0.144,,,2015,5413,0.9,0.85,G3V,,-0.03,,,
124,EPIC 203826436 C,Primary Transit,,6.42904,,,,,,,0.245,,,2015,5413,0.9,0.85,G3V,,-0.03,,,
125,EPIC 203826436 D,Primary Transit,,14.09189,,,,,,,0.244,,,2015,5413,0.9,0.85,G3V,,-0.03,,,
126,EPIC 204221263 B,Primary Transit,,4.01593,,,,,,,0.138,,,2016,5757,1.07,1.1,G2V,,0.28,,,
127,EPIC 204221263 C,Primary Transit,,10.56103,,,,,,,0.216,,,2016,5757,1.07,1.1,G2V,,0.28,,,
128,EPIC 211391664 B,Primary Transit,,10.13675,0.0943,,89,0.101,,,0.38,,,2016,6120,1.074,1.311,F8V,,-0.2,,5.2,
129,EPIC 211822797 B,Primary Transit,,21.169619,,0.18,89.5,,,,0.2,,,2016,3880,0.61,0.59,,,,,0.8,
130,EPIC 211913977 B,Primary Transit,,14.677286,,0.1,89.4,,,,0.18,,,2016,4819,0.8,0.73,,,,,0.8,
131,EPIC 211969807 B,Primary Transit,,1.97419,,0.18,88,,,,0.17,,,2016,3660,0.51,0.48,,,,,0.8,
132,EPIC 211970147 B,Primary Transit,,9.915615,,0.1,89,,,,0.12,,,2016,4695,0.77,0.71,,,,,0.8,
133,EPIC 211990866 B,Primary Transit,,1.673916,,0.24,85.1,,,,0.31,,,2016,6120,1.18,1.19,,,,,0.8,
134,EPIC 216468514 B,Primary Transit,,3.31392,0.048,,81.9,0.84,,,1.44,,,2016,6030,1.3,1.78,F9IV,,0.1,,4.25,
135,EPIC 218916923 B,Primary Transit,,28.38229,0.1811,0,89.55,0.381,,,0.812,,,2017,5287,0.918,0.86,,,0.21,,1.8,
136,EPIC 219388192 B,Primary Transit,,5.292569,0.0593,0.1929,90,36.5,,,0.937,,,2016,5850,0.99,1.01,G,,0.03,,3.9,
137,EPIC 220504338,Primary Transit,,5.817712,0.0575,0,86.44,1.28,,,0.91,,,2016,5627,1.007,1.047,G,,0.18,,5.9,
138,EPIC 220674823 B,Primary Transit,,0.571308,0.011,0,80.2,,,,0.13,,,2016,5814,0.93,0.83,G5V,,-0.025,,5,
139,EPIC 220674823 C,Primary Transit,,13.341245,0.064,0,87.2,,,,0.226,,,2016,5814,0.93,0.83,G5V,,-0.025,,5,
140,EPIC 228735255 B,Primary Transit,,6.5693,0.0591,0.12,88.51,1.019,,,1.095,,,2017,5654,1.005,0.987,G5,,0.12,,4.22,
141,EPIC-206011691 B,Primary Transit,,9.32414,0.0731,,88.3,,,,0.142,,,2015,4043,0.64,0.6,M0,,-0.11,,,
142,EPIC-206011691 C,Primary Transit,,15.5012,0.1026,,89.08,,,,0.171,,,2015,4043,0.64,0.6,M0,,-0.11,,,
143,EPIC-210490365 B,Primary Transit,,3.484552,,0.27,88.32,,,,0.306,,,2015,3180,0.294,0.295,M4.5,,0.15,,,
144,FU TAU B,Imaging,,,800,,,15,,,,,,2009,2838,0.05,,M7.25,,,,0.001,
145,FW TAU B,Imaging,,,330,,,10,,,,,,2013,3270,0.26,,M4,,,,0.0018,
146,FOMALHAUT B,Imaging,,320000,115,0.11,,3,,,,,,2008,8590,1.92,1.842,A3 V,,,,0.44,
147,GJ 1132 B,Primary Transit,,1.62893,0.0154,0,,0.0051,,,0.103,,,2015,3270,0.181,0.207,M3.5,,-0.12,,5,
148,GJ 1214 B,Primary Transit,,1.58040482,0.01411,0.27,88.17,0.020325331,,,0.23820187,,,2009,3026,0.15,0.216,M,,0.39,,6,
149,GJ 15 A B,Radial Velocity,,11.4433,0.0717,0,,0.016832898,,,,,,2014,3567,0.375,0.3863,M2V,,-0.32,,,
150,GJ 160.2 B,Radial Velocity,,5.2354,0.053,0.06,,0.032092628,,,,,,2014,4347,0.69,,M0V,,,,,
151,GJ 163 B,Radial Velocity,,8.633,0.06069,0.0106,,0.0334,,,,,,2012,,0.4,,M3.5,,,,3,
152,GJ 163 C,Radial Velocity,,25.645,0.1254,0.094,,0.02285,,,,,,2012,,0.4,,M3.5,,,,3,
153,GJ 163 D,Radial Velocity,,600.895,1.02689,0.399,,0.06945,,,,,,2013,,0.4,,M3.5,,,,3,
154,GJ 176 B,Radial Velocity,,8.7836,0.066,0,,0.0265,,,,,,2007,,0.49,0.53,M2.5V,,-0.1,,,
155,GJ 179 B,Radial Velocity,,2288,2.41,0.21,,0.82,,,,,,2010,3370,0.357,0.38,M3.5,,0.3,,,
156,GJ 180 B,Radial Velocity,,17.38,0.103,0.11,,0.02611459,,,,,,2014,3371,0.43,,M2V,,,,,
157,GJ 180 C,Radial Velocity,,24.329,0.129,0.09,,0.020136551,,,,,,2014,3371,0.43,,M2V,,,,,
158,GJ 229 A B,Radial Velocity,,471,0.97,0.1,,0.100682755,,,,,,2014,3564,0.58,,M1 V,,,,,
159,GJ 229 B,Imaging,,,,,,35,,,,,,1995,3564,0.58,,M1 V,,,,,
160,GJ 27.1 B,Radial Velocity,,15.819,0.101,0.08,,0.040902369,,,,,,2014,3542,0.53,,M0.5V,,,,,
161,GJ 273 B,Radial Velocity,,18.6498,0.091101,0.1,,0.00909,,,,,,2017,3382,0.29,0.293,M3.5,,0.09,,,
162,GJ 273 C,Radial Velocity,,4.7234,0.036467,0.17,,0.00371,,,,,,2017,3382,0.29,0.293,M3.5,,0.09,,,
163,GJ 3021 B,Radial Velocity,,133.71,0.49,0.511,,3.37,,,,,,2000,5540,0.9,0.9,G6 V,,0.1,,8.77,
164,GJ 3138 B,Radial Velocity,,5.974,0.057,0.11,,0.0132,,,,,,2017,3717,0.681,0.5,M0,,-0.3,,,
165,GJ 3138 C,Radial Velocity,,1.22003,0.0197,0.19,,0.0056,,,,,,2017,3717,0.681,0.5,M0,,-0.3,,,
166,GJ 3138 D,Radial Velocity,,257.8,0.698,0.32,,0.033,,,,,,2017,3717,0.681,0.5,M0,,-0.3,,,
167,GJ 317 B,Radial Velocity,,692,1.148,0.11,45,2.56,,,,,,2007,3510,0.42,,M3.5,,0.36,,,
168,GJ 317 C,Radial Velocity,,7300,30,0.81,,2,,,,,,2007,3510,0.42,,M3.5,,0.36,,,
169,GJ 328 B,Radial Velocity,,4100,4.5,0.37,,2.3,,,,,,2013,3900,0.69,,K7,,0,,,
170,GJ 3293 B,Radial Velocity,,30.5987,0.14339,0.06,,0.07406,,,,,,2014,3466,0.42,0.404,M2.5,,0.02,,,
171,GJ 3293 C,Other,,122.6196,0.36175,0.11,,0.06636,,,,,,2014,3466,0.42,0.404,M2.5,,0.02,,,
172,GJ 3293 D,Radial Velocity,,48.1345,0.194,0.12,,0.024,,,,,,2014,3466,0.42,0.404,M2.5,,0.02,,,
173,GJ 3293 E,Radial Velocity,,13.2543,0.0821,0.21,,0.0103,,,,,,2017,3466,0.42,0.404,M2.5,,0.02,,,
174,GJ 3323 B,Radial Velocity,,5.3636,0.03282,0.23,,0.00636,,,,,,2017,3159,0.164,0.119,M4,,-0.27,,,
175,GJ 3323 C,Radial Velocity,,40.54,0.1264,0.17,,0.00727,,,,,,2017,3159,0.164,0.119,M4,,-0.27,,,
176,GJ 3341 B,Radial Velocity,,14.207,0.089,0.31,,0.35717,,,,,,2014,3526,0.47,0.349,M2.5,,-0.09,,,
177,GJ 3470 B,Primary Transit,,3.33671,0.03557,,88.3,0.043753329,,,0.373807429,,,2012,3600,0.539,0.55,M1.5,,0.2,,1,
178,GJ 3634 B,Radial Velocity,,2.64561,0.0287,0.08,59,0.026,,,,,,2011,,0.45,0.43,M2.5,,,,,
179,GJ 3998 B,Radial Velocity,,2.64977,0.029,0,,0.00777,,,,,,2016,3722,0.5,0.49,M1,,-0.16,,,
180,GJ 3998 C,Radial Velocity,,13.74,0.089,0.049,,0.0197,,,,,,2016,3722,0.5,0.49,M1,,-0.16,,,
181,GJ 422 B,Radial Velocity,,26.161,0.119,0.05,,0.031148727,,,,,,2014,3323,0.35,,M3.5V,,,,,
182,GJ 433 B,Radial Velocity,,7.3697,0.06,0.05,,0.01667,,,,,,2009,3600,0.48,,M1.5,,-0.22,,,
183,GJ 433 C,Radial Velocity,,3693,3.6,0.17,,0.14,,,,,,2012,3600,0.48,,M1.5,,-0.22,,,
184,GJ 436 B,Primary Transit,,2.64394,0.02887,0.1912,85.8,0.07,,,0.38,,,2004,3684,0.452,0.464,M2.5,,-0.32,,6,
185,GJ 504 B,Imaging,,,43.5,,,4,,,0.96,,,2013,6234,1.22,,GOV,,0.28,,0.16,
186,GJ 536 B,Radial Velocity,,8.7076,0.06661,0.08,,0.0169,,,,,,2016,3685,0.52,0.5,M1,,-0.08,,,
187,GJ 570 D,Imaging,,,1500,,,42.5,,,0.855,,,,4758,0.802,,K4/M1/M3,,0.06,,,
188,GJ 581 B,Radial Velocity,,5.36865,0.041,0.031,,0.05,,,,,,2005,3498,0.31,0.3,M2.5V,,-0.135,,8,
189,GJ 581 C,Radial Velocity,,12.9182,0.073,0.07,,0.017,,,,,,2007,3498,0.31,0.3,M2.5V,,-0.135,,8,
190,GJ 581 E,Radial Velocity,,3.14945,0.028,0.32,,0.0061,,,,,,2009,3498,0.31,0.3,M2.5V,,-0.135,,8,
191,GJ 625 B,Radial Velocity,,14.638,0.078399,0.13,,0.0095,,,,,,2017,3499,0.3,0.31,M2,,-0.38,,,
192,GJ 649 B,Radial Velocity,,598.3,1.135,0.3,,0.328,,,,,,2009,3700,0.54,,M1.5,,0.08,,,
193,GJ 649 C,Radial Velocity,,4.4762,0.043,0.2,,0.03,,,,,,2013,3700,0.54,,M1.5,,0.08,,,
194,GJ 667 C B,Radial Velocity,,7.2004,0.0505,0.13,,0.0176,,,,,,2009,3600,0.33,,M1.5V,,-0.55,,2,
195,GJ 667 C C,Radial Velocity,,28.14,0.125,0.02,,0.012,,,,,,2011,3600,0.33,,M1.5V,,-0.55,,2,
196,GJ 667 C D,Radial Velocity,,91.61,0.276,0.03,,0.01604,,,,,,2012,3600,0.33,,M1.5V,,-0.55,,2,
197,GJ 667 C E,Radial Velocity,,62.24,0.213,0.02,,0.0085,,,,,,2013,3600,0.33,,M1.5V,,-0.55,,2,
198,GJ 667 C F,Radial Velocity,,39.026,0.156,0.03,,0.0085,,,,,,2013,3600,0.33,,M1.5V,,-0.55,,2,
199,GJ 667 C G,Radial Velocity,,256.2,0.549,0.08,,0.0145,,,,,,2013,3600,0.33,,M1.5V,,-0.55,,2,
200,GJ 674 B,Radial Velocity,,4.6944,0.039,0.07,,0.04,,,1.13,,,2007,3600,0.35,,M2.5,,-0.28,,0.55,
201,GJ 676 A B,Radial Velocity,,1052.1,1.812,0.323,45,6.7,,,,,,2009,,0.71,,M0V,,0.23,,,
202,GJ 676 A C,Radial Velocity,,7337,6.6,0.2,,6.8,,,,,,2012,,0.71,,M0V,,0.23,,,
203,GJ 676 A D,Radial Velocity,,3.6,0.0413,0.15,,0.014,,,,,,2012,,0.71,,M0V,,0.23,,,
204,GJ 676 A E,Radial Velocity,,35.37,0.187,0.24,,0.036,,,,,,2012,,0.71,,M0V,,0.23,,,
205,GJ 682 B,Radial Velocity,,17.478,0.08,0.08,,0.013843879,,,,,,2014,3028,0.27,,M3.5V,,,,,
206,GJ 682 C,Radial Velocity,,57.32,0.176,0.1,,0.027365121,,,,,,2014,3028,0.27,,M3.5V,,,,,
207,GJ 687 B,Radial Velocity,,38.14,0.16353,0.04,,0.058,,,,,,2014,3413,0.413,0.4183,M3.5V,,,,,
208,GJ 758 B,Imaging,,109000,44.8,0.564,43.6,45,,,,,,2009,5425,0.97,0.88,K0V,,0.18,,8.2,
209,GJ 785 B,Radial Velocity,,74.72,0.32,0.13,,0.0532,,,,,,2010,5144,0.78,0.68,K1V,,0.08,,,
210,GJ 785 C,Radial Velocity,,525.8,1.18,0.32,,0.076,,,,,,2011,5144,0.78,0.68,K1V,,0.08,,,
211,GJ 832 B,Radial Velocity,,3416,3.6,0.08,,0.689047604,,,,,,2008,,0.45,,,,-0.31,,,
212,GJ 832 C,Radial Velocity,,35.67,0.162,0.03,,0.01573168,,,,,,2014,,0.45,,,,-0.31,,,
213,GJ 849 B,Radial Velocity,,1914,2.35,0.012,,0.9,,,,,,2006,,0.49,0.52,M3.5V,,0.22,,,
214,GJ 849 C,Radial Velocity,,7049,,0.218,,0.77,,,,,,2013,,0.49,0.52,M3.5V,,0.22,,,
215,GJ 86 A B,Radial Velocity,,15.766,0.11,0.046,,4.01,,,,,,2000,5350,0.8,0.855,K1V,,-0.24,,2.03,
216,GJ 876 B,Radial Velocity,,61.03,0.208317,0,84,1.938,,,,,,2000,3350,0.334,0.36,M4 V,,0.05,,2.5,
217,GJ 876 C,Radial Velocity,,30.23,0.12959,0.002,48.07,0.856,,,,,,2000,3350,0.334,0.36,M4 V,,0.05,,2.5,
218,GJ 876 D,Radial Velocity,,1.94,0.02080665,0.081,50,0.022,,,,,,2005,3350,0.334,0.36,M4 V,,0.05,,2.5,
219,GJ 876 E,Radial Velocity,,124.69,0.3343,0.073,59.5,0.045,,,,,,2010,3350,0.334,0.36,M4 V,,0.05,,2.5,
220,GP COM B,Other,,0.032,,,55.5,26.2,,,,,,2016,,0.33,,DBe D,,,,,
221,GQ LUP B,Imaging,,,103,,,21.5,,,1.8,,,2005,,0.7,,K7eV,,,,0.001,
222,GSC 6214-210 B,Imaging,,,320,,,17,,,,,,2010,,0.6,,M1,,,,0.011,
223,GU PSC B,Imaging,,,2000,,,11,,,1.35,,,2014,,0.35,,M3,,,,0.1,
224,HAT-36 B,Primary Transit,,4.1752379,0.0529,0.294,87.57,2.79,,,1.263,,,2017,5970,1.135,1.186,G0V,,0.13,,3.4,
225,HAT-P-1 B,Primary Transit,,4.46529976,0.05561,0.067,85.634,0.525,,,1.319,,,2006,5980,1.151,1.174,GOV,,0.13,,3.6,
226,HAT-P-11 B,Primary Transit,,4.887802443,0.053,0.265,89.05,0.082434006,,,0.421983089,,,2009,4780,0.81,0.75,K4,,0.31,,6.5,
227,HAT-P-12 B,Primary Transit,,3.2130598,0.0384,0,,0.210489885,,,0.954591765,,,2009,4650,0.73,0.7,,,-0.29,,2.5,
228,HAT-P-13 B,Primary Transit,,2.916243,0.0426,0.0142,83.3,0.85,,,1.28,,,2009,5638,1.22,1.56,G4,,0.43,,5,
