,# NAME,Metodo,No de planetas,Periodo (dias),Semi eje (ua),Excen,inclination,mass (Mjup),B5,Radio tierra,Radio (Rjup),B7,Densidad pl gr/cm^3,A├▒o,Teff,Masa estr (Msol),Radio (Rsol),Tipo espectral,Densidad estr (gr/cm^3),Metalicidad,Raz├│n de metalicidad,Edad (gyr),Unnamed: 25
3002,KEPLER-780 B,Primary Transit,,0.67737516,,,,,,,0.079,,,2016,5769,1.01,1.02,,,0.05,,,
3003,KEPLER-781 B,Primary Transit,,13.2140732,,,,,,,0.258,,,2016,5162,0.81,0.78,,,-0.1,,,
3004,KEPLER-782 B,Primary Transit,,158.6853308,,,,,,,0.286,,,2016,5867,0.98,1.01,,,-0.14,,,
3005,KEPLER-783 B,Primary Transit,,4.29264638,,,,,,,0.07,,,2016,5521,0.93,0.89,,,0.01,,,
3006,KEPLER-784 B,Primary Transit,,31.5922646,,,,,,,0.141,,,2016,5674,1,1.32,,,0.07,,,
3007,KEPLER-785 B,Primary Transit,,1.97376093,,,,,,,1.162,,,2016,4739,0.77,0.71,,,-0.02,,,
3008,KEPLER-786 B,Primary Transit,,53.5293487,,,,,,,0.217,,,2016,4838,0.81,0.74,,,0.09,,,
3009,KEPLER-787 B,Primary Transit,,0.9283105,,,,,,,0.114,,,2016,4248,0.65,0.62,,,-0.09,,,
3010,KEPLER-788 B,Primary Transit,,8.39846269,,,,,,,0.227,,,2016,6159,1.16,1.23,,,0.05,,,
3011,KEPLER-789 B,Primary Transit,,8.63847725,,,,,,,0.189,,,2016,5870,1.01,1.02,,,-0.06,,,
3012,KEPLER-79 B,Primary Transit,,13.4845,0.117,0.015,88.78,0.034285,,,0.309568,,,2013,6174,1.165,1.302,,,,,3.44,
3013,KEPLER-79 C,Primary Transit,,27.4029,0.187,0.03,89.48,0.018558,,,0.332,,,2013,6174,1.165,1.302,,,,,3.44,
3014,KEPLER-79 D,Primary Transit,,52.0902,0.287,0.025,89.93,0.018872,,,0.64,,,2013,6174,1.165,1.302,,,,,3.44,
3015,KEPLER-79 E,Primary Transit,,81.0659,0.386,0.012,89.13,0.0129,,,0.312,,,2013,6174,1.165,1.302,,,,,3.44,
3016,KEPLER-790 B,Primary Transit,,13.73469807,,,,,,,0.194,,,2016,5208,0.84,0.8,,,-0.05,,,
3017,KEPLER-791 B,Primary Transit,,14.5539759,,,,,,,0.272,,,2016,6383,1.3,1.47,,,0.06,,,
3018,KEPLER-792 B,Primary Transit,,11.30119217,,,,,,,0.175,,,2016,5971,1.09,1.12,,,0.08,,,
