NAME,A,MASS,R,ECC,PER,I,OM,T0,DATE,DENSITY,PLANETDISCMETH,MSTAR,RSTAR,TEFF,FE,RHOSTAR
,au,mjupiter,rjupiter,,day,deg,deg,jd,,g/cm^3,,msun,rsun,k,,g/cm^3
Kepler-32 b,0.0520435,0.0165128,0.1963,0,5.90124,,90,2454974.902,2011,,Transit,0.54,0.53,3793,-0.01,
Kepler-1521 b,0.238093,0.01966,0.223,0,47.14840805,,90,,2016,,Transit,0.81,0.76,5042,-0.05,
HD 92788 b,0.951142,3.56392,,0.334,325.81,,276.4,2450759.2,2001,,RV,1.078,0.813756,5836.08,0.317892,
Kepler-83 c,0.125924,0.0181548,0.211,,20.09,,,,2012,,Transit,0.66,0.61,4648,-0.195,
Kepler-694 b,0.0665428,0.0236826,0.25,0,6.36584161,,90,,2016,,Transit,0.97,0.95,5700,0,
CoRoT-26 b,0.052477,0.479479,1.26,0,4.20474,86.8,90,2454573.6299,2013,0.28,Transit,1.09,1.79,5590,0.01,
HAT-P-12 b,0.0383737,0.210804,0.959,0,3.2130598,89,90,2454419.195596,2009,0.295,Transit,0.73,0.701,4650,-0.29,
Kepler-178 c,0.146843,0.0248763,0.256936,,20.552802,,90,2454978.02634,2014,,Transit,,1.066,5676,,
Kepler-994 b,0.0177185,0.0119381,0.143,0,1.15116651,,90,,2016,,Transit,0.56,0.54,3934,-0.13,
Kepler-603 c,0.498476,0.115338,0.58,0,127.9075774,,90,,2016,,Transit,1.01,1.01,5808,0.03,
Kepler-82 d,0.0349155,0.0130508,0.157909,,2.382961,,90,2454968.08186,2014,,Transit,,0.945,5428,,
Kepler-1417 b,0.146844,0.00289089,0.089,0,20.3505213,,90,,2016,,Transit,1.02,1.02,5839,0.02,
HD 114613 b,5.3109,0.506039,,0.25,3827,,244,2455550.3,2014,,RV,1.364,1.91632,5729,0.19,
Kepler-130 d,0.385778,0.0121773,0.146311,,87.517905,,90,2455034.15805,2014,,Transit,,1.127,5884,,
HD 154857 b,1.2912,2.24797,,0.46,408.6,,57,2453572.5,2004,,RV,1.718,1.86203,5605,-0.22,
Kepler-106 e,0.243344,0.0203863,0.228368,0,43.8445,,,,2014,3.1,Transit,1,1.04,5858,-0.12,1.38
Kepler-355 b,0.0969854,0.0107805,0.130252,,11.03189,,90,2455195.3382,2014,,Transit,,1.066,6184,,
Kepler-220 c,0.0848919,0.0117295,0.140066,,9.034199,,90,2455004.01425,2014,,Transit,,0.666,4632,,
Kepler-243 b,0.0625614,0.0190864,0.218574,,5.715442,,90,2455007.87832,2014,,Transit,,0.842,5228,,
Kepler-712 b,0.140655,0.0350514,0.304,0,21.02247699,,90,,2016,,Transit,0.84,0.78,5148,-0.03,
Kepler-297 b,0.224576,0.0247188,0.256044,,38.871826,,90,2455004.28713,2014,,Transit,,0.915,5619,,
Kepler-220 b,0.05062,0.00137963,0.0722634,,4.159807,,90,2454966.78646,2014,,Transit,,0.666,4632,,
Kepler-483 b,0.206202,0.0307009,0.286,0,30.229104,,90,,2016,,Transit,1.28,1.47,6346,0.09,
Kepler-245 c,0.131719,0.0163243,0.194487,,17.460812,,90,2454970.26441,2014,,Transit,,0.795,5100,,
Kepler-25 c,0.113014,0.0899033,0.463913,0,12.7204,,90,,2011,0.9,Transit,1.19,1.31,6270,-0.04,0.75
Kepler-1435 b,0.0564501,0.00172655,0.077,0,4.45343281,,90,,2016,,Transit,1.21,1.32,6356,-0.03,
Kepler-1405 b,0.18441,0.0503054,0.353,0,28.2274184,,90,,2016,,Transit,1.05,1.07,5925,0.03,
HD 163607 b,0.359201,0.768857,,0.73,75.29,,78.7,2454185,2012,,RV,1.09,1.69594,5543,0.21,
Kepler-1254 c,0.0423228,0.00730709,0.116,0,3.60084276,,90,,2016,,Transit,0.78,0.75,4985,-0.1,
