rowid,Star name,planet letter,Method,No de planetas,Periodo dias,Semi eje,excentricidad,Inlcinacion,Masa sin (Mjup),Masa (Mjup),Masa (Mtierra),Radio (Rjup),Radio tierra,Densidad pl gr/cm^3,Año,Teff (K),Masa (Msol),Radio (Rsol),Tipo espectral,Densidad estr (gr/cm^3),Metalicidad,Razón de metalicidad,Edad estr
2911,Kepler-761,b,Transit,1,10.12804789,,,,,,,0.181,2.03,,2016,5706,0.95,0.93,,,-0.09,[Fe/H],4.07
2912,Kepler-762,b,Transit,1,3.7705521,,,,,,,1.131,12.68,,2016,5944,1.06,1.08,,,0.02,[Fe/H],3.8
2913,Kepler-763,b,Transit,1,1.19655156,,,,,,,0.109,1.22,,2016,5166,0.84,0.8,,,0.01,[Fe/H],4.79
2914,Kepler-764,b,Transit,1,7.33683936,,,,,,,0.146,1.64,,2016,5557,0.92,0.89,,,-0.06,[Fe/H],4.17
2915,Kepler-765,b,Transit,1,27.6655226,,,,,,,0.217,2.43,,2016,5901,1.05,1.06,,,0.04,[Fe/H],3.72
2916,Kepler-766,b,Transit,1,6.10027804,,,,,,,0.302,3.39,,2016,5992,1.1,1.15,,,0.09,[Fe/H],3.63
2917,Kepler-767,b,Transit,1,161.5280101,,,,,,,0.592,6.64,,2016,5694,0.96,0.94,,,-0.05,[Fe/H],4.07
2918,Kepler-768,b,Transit,1,11.3910025,,,,,,,0.16,1.79,,2016,5108,0.82,0.78,,,-0.03,[Fe/H],4.57
2919,Kepler-769,b,Transit,2,7.42608998,,,,,,,0.261,2.92,,2016,6186,1.19,1.28,,,0.06,[Fe/H],2.88
2920,Kepler-769,c,Transit,2,15.9870174,,,,,,,0.16,1.79,,2016,6186,1.19,1.28,,,0.06,[Fe/H],2.88
2921,Kepler-77,b,Transit,1,3.57878087,0.04501,0,88,0.43,0.43,136.661,0.96,10.761,0.603,2013,5520,0.95,0.99,G5 V,1.365,0.2,[M/H],7.5
2922,Kepler-770,b,Transit,3,18.92540274,,,,,,,0.205,2.3,,2016,5598,0.94,0.92,,,-0.01,[Fe/H],4.57
2923,Kepler-770,c,Transit,3,1.47532231,,,,,,,0.107,1.2,,2016,5598,0.94,0.92,,,-0.01,[Fe/H],4.57
2924,Kepler-770,d,Transit,3,4.15244722,,,,,,,0.125,1.4,,2016,5598,0.94,0.92,,,-0.01,[Fe/H],4.57
2925,Kepler-771,b,Transit,1,8.73485836,,,,,,,0.162,1.82,,2016,5906,1.03,1.05,,,0.01,[Fe/H],3.72
2926,Kepler-772,b,Transit,1,12.99207337,,,,,,,0.162,1.82,,2016,5714,0.98,1.11,,,0.03,[Fe/H],8.13
2927,Kepler-773,b,Transit,1,3.74910006,,,,,,,0.128,1.43,,2016,5850,1.04,1.01,,,0.05,[Fe/H],2.82
2928,Kepler-774,b,Transit,1,11.0895723,,,,,,,0.283,3.17,,2016,6403,1.57,2.42,,,0.04,[Fe/H],2.14
2929,Kepler-775,b,Transit,1,0.97486893,,,,,,,0.106,1.19,,2016,5468,0.92,0.84,,,-0.04,[Fe/H],1.86
2930,Kepler-776,b,Transit,1,4.89718784,,,,,,,0.114,1.28,,2016,5071,0.83,0.78,,,0.05,[Fe/H],4.37
2931,Kepler-777,b,Transit,1,5.72812599,,,,,,,0.131,1.47,,2016,4043,0.58,0.56,,,-0.17,[Fe/H],3.16
2932,Kepler-778,b,Transit,1,3.75574426,,,,,,,0.15,1.68,,2016,5102,0.81,0.77,,,-0.09,[Fe/H],5.25
2933,Kepler-779,b,Transit,1,7.09714223,,,,,,,0.082,0.92,,2016,3804,0.46,0.44,,,-0.43,[Fe/H],3.89
2934,Kepler-78,b,Transit,1,0.355,,0,79,0.006,0.006,1.86,0.105,1.173,5.57,2013,5058,0.76,0.74,G,2.8,-0.18,[M/H],0.75
2935,Kepler-780,b,Transit,1,0.67737516,,,,,,,0.079,0.89,,2016,5769,1.01,1.02,,,0.05,[Fe/H],4.9
2936,Kepler-781,b,Transit,1,13.2140732,,,,,,,0.258,2.89,,2016,5162,0.81,0.78,,,-0.1,[Fe/H],4.9
2937,Kepler-782,b,Transit,1,158.6853308,,,,,,,0.286,3.21,,2016,5867,0.98,1.01,,,-0.14,[Fe/H],5.25
2938,Kepler-783,b,Transit,1,4.29264638,,,,,,,0.07,0.78,,2016,5521,0.93,0.89,,,0.01,[Fe/H],3.89
2939,Kepler-784,b,Transit,1,31.5922646,,,,,,,0.141,1.58,,2016,5674,1,1.32,,,0.07,[Fe/H],9.12
2940,Kepler-785,b,Transit,1,1.97376093,,,,,,,1.162,13.02,,2016,4739,0.77,0.71,,,-0.02,[Fe/H],2.82
2941,Kepler-786,b,Transit,1,53.5293487,,,,,,,0.217,2.43,,2016,4838,0.81,0.74,,,0.09,[Fe/H],2.51
2942,Kepler-787,b,Transit,1,0.9283105,,,,,,,0.114,1.28,,2016,4248,0.65,0.62,,,-0.09,[Fe/H],3.39
2943,Kepler-788,b,Transit,1,8.39846269,,,,,,,0.227,2.55,,2016,6159,1.16,1.23,,,0.05,[Fe/H],3.02
2944,Kepler-789,b,Transit,1,8.63847725,,,,,,,0.189,2.12,,2016,5870,1.01,1.02,,,-0.06,[Fe/H],3.72
2945,Kepler-79,b,Transit,4,13.4845,0.117,0.015,88.78,0.0343,0.0343,10.9,0.31,3.47,1.43,2012,6174,1.17,1.3,,0.741,-0.073,[M/H],3.44
2946,Kepler-79,c,Transit,4,27.4029,0.187,0.03,89.48,0.019,0.019,5.9,0.332,3.72,0.62,2012,6174,1.17,1.3,,0.741,-0.073,[M/H],3.44
2947,Kepler-79,d,Transit,4,52.0902,0.287,0.025,89.93,0.019,0.019,6,0.639,7.16,0.09,2014,6174,1.17,1.3,,0.741,-0.073,[M/H],3.44
2948,Kepler-79,e,Transit,4,81.0659,0.386,0.012,89.13,0.013,0.013,4.1,0.311,3.49,0.53,2014,6174,1.17,1.3,,0.741,-0.073,[M/H],3.44
2949,Kepler-790,b,Transit,1,13.73469807,,,,,,,0.194,2.18,,2016,5208,0.84,0.8,,,-0.05,[Fe/H],4.9
2950,Kepler-791,b,Transit,1,14.5539759,,,,,,,0.272,3.05,,2016,6383,1.3,1.47,,,0.06,[Fe/H],2.24
2951,Kepler-792,b,Transit,1,11.30119217,,,,,,,0.175,1.96,,2016,5971,1.09,1.12,,,0.08,[Fe/H],3.39
2952,Kepler-793,b,Transit,1,4.24153639,,,,,,,0.122,1.37,,2016,5745,0.98,0.97,,,0,[Fe/H],4.27
2953,Kepler-794,b,Transit,1,11.13125132,,,,,,,0.188,2.11,,2016,5839,1.19,1.38,,,0.34,[Fe/H],4.07
2954,Kepler-795,b,Transit,1,29.6193421,,,,,,,0.15,1.68,,2016,5631,0.94,0.96,,,-0.02,[Fe/H],6.46
2955,Kepler-796,b,Transit,1,6.40087618,,,,,,,0.116,1.3,,2016,5475,0.93,1.09,,,0.09,[Fe/H],11.75
2956,Kepler-797,b,Transit,1,27.07237711,,,,,,,0.194,2.17,,2016,5680,0.96,0.95,,,-0.02,[Fe/H],3.89
2957,Kepler-798,b,Transit,1,13.71933369,,,,,,,0.213,2.39,,2016,6224,1.19,1.29,,,0.03,[Fe/H],2.82
2958,Kepler-799,b,Transit,1,133.4605235,,,,,,,0.614,6.88,,2016,5681,0.95,0.93,,,-0.07,[Fe/H],3.98
2959,Kepler-8,b,Transit,1,3.5224991,0.0474,,83.978,0.59,0.59,187.5197,1.416,15.872,0.27,2010,6213,1.21,1.49,,,-0.055,[Fe/H],
2960,Kepler-80,b,Transit,5,7.05246,0.0648,,89.34,0.0218,0.0218,6.93,0.238,2.67,1.38,2012,4540,0.73,0.68,K5,2.33,0.04,[Fe/H],2
2961,Kepler-80,c,Transit,5,9.52355,0.0792,,89.33,0.02121,0.02121,6.74,0.244,2.74,1.22,2012,4540,0.73,0.68,K5,2.33,0.04,[Fe/H],2
2962,Kepler-80,d,Transit,5,3.07222,0.0372,,88.35,0.02124,0.02124,6.75,0.136,1.53,7.04,2014,4540,0.73,0.68,K5,2.33,0.04,[Fe/H],2
2963,Kepler-80,e,Transit,5,4.64489,0.0491,,88.79,0.01299,0.01299,4.13,0.143,1.6,3.75,2014,4540,0.73,0.68,K5,2.33,0.04,[Fe/H],2
2964,Kepler-80,f,Transit,5,0.9867873,0.0175,,86.5,,,,0.108,1.21,,2016,4540,0.73,0.68,K5,2.33,0.04,[Fe/H],2
2965,Kepler-800,b,Transit,1,14.13176026,,,,,,,0.254,2.85,,2016,5315,0.85,0.82,,,-0.09,[Fe/H],4.68
2966,Kepler-801,b,Transit,1,11.41928253,,,,,,,0.178,2,,2016,4435,0.67,0.63,,,-0.17,[Fe/H],3.55
2967,Kepler-802,b,Transit,1,40.0587473,,,,,,,0.316,3.54,,2016,5507,0.93,0.9,,,0.06,[Fe/H],4.68
2968,Kepler-803,b,Transit,1,50.28638192,,,,,,,0.338,3.79,,2016,5919,1.05,1.12,,,0.02,[Fe/H],4.9
2969,Kepler-804,b,Transit,2,14.37457351,,,,,,,0.173,1.94,,2016,5817,1.01,1.05,,,0,[Fe/H],5.25
2970,Kepler-804,c,Transit,2,9.65185017,,,,,,,0.102,1.14,,2016,5817,1.01,1.05,,,0,[Fe/H],5.25
2971,Kepler-805,b,Transit,1,30.8638931,,,,,,,0.258,2.89,,2016,6112,1.19,1.65,,,-0.06,[Fe/H],4.27
2972,Kepler-806,b,Transit,1,8.09219642,,,,,,,0.102,1.14,,2016,5770,0.99,1.16,,,0,[Fe/H],7.76
2973,Kepler-807,b,Transit,1,117.9310878,,,,,,,0.93,10.42,,2016,5965,1.04,1.06,,,-0.04,[Fe/H],3.72
2974,Kepler-808,b,Transit,1,0.63133235,,,,,,,0.13,1.46,,2016,4653,0.76,0.71,,,0.05,[Fe/H],1.95
2975,Kepler-809,b,Transit,1,55.63934,,,,,,,0.269,3.01,,2016,5734,0.99,0.98,,,0.04,[Fe/H],4.37
2976,Kepler-81,b,Transit,3,5.955,,,,,,,0.216,2.42,,2012,4500,0.64,0.59,,,-0.524,[Fe/H],
2977,Kepler-81,c,Transit,3,12.04,,,,,,,0.211,2.37,,2012,4500,0.64,0.59,,,-0.524,[Fe/H],
2978,Kepler-81,d,Transit,3,20.837846,0.128,,,,,,0.108,1.21,,2014,4500,0.64,0.59,,,-0.524,[Fe/H],
2979,Kepler-810,b,Transit,1,4.59725385,,,,,,,0.172,1.93,,2016,5803,1.03,1.04,,,0.1,[Fe/H],4.17
2980,Kepler-811,b,Transit,1,23.58447697,,,,,,,0.241,2.7,,2016,5747,1.01,1.24,,,0.05,[Fe/H],7.94
2981,Kepler-812,b,Transit,1,10.11716531,,,,,,,0.317,3.55,,2016,6761,1.45,1.71,,,0.02,[Fe/H],1.66
2982,Kepler-813,b,Transit,1,19.12947337,,,,,,,0.191,2.14,,2016,5743,0.95,0.93,,,-0.13,[Fe/H],3.98
2983,Kepler-814,b,Transit,1,6.1469851,,,,,,,0.189,2.12,,2016,6162,1.15,1.22,,,0.01,[Fe/H],3.02
2984,Kepler-815,b,Transit,1,8.57503552,,,,,,,0.367,4.11,,2016,5028,1.25,3.42,,,-0.03,[Fe/H],4.9
2985,Kepler-816,b,Transit,1,10.50682565,,,,,,,0.914,10.24,,2016,5286,0.9,0.85,,,0.16,[Fe/H],4.17
2986,Kepler-817,b,Transit,1,3.99010623,,,,,,,0.806,9.03,,2016,5861,1.03,1.03,,,0.02,[Fe/H],3.55
2987,Kepler-818,b,Transit,1,10.03538581,,,,,,,0.456,5.11,,2016,5638,0.94,0.92,,,-0.08,[Fe/H],3.98
2988,Kepler-819,b,Transit,1,33.1995648,,,,,,,0.246,2.76,,2016,5279,0.86,0.81,,,-0.06,[Fe/H],4.47
2989,Kepler-82,b,Transit,4,26.444,,,,,,,0.357,4,,2012,5428,0.85,0.94,,,-0.014,[Fe/H],
2990,Kepler-82,c,Transit,4,51.538,,,,,,,0.477,5.35,,2012,5428,0.85,0.94,,,-0.014,[Fe/H],
2991,Kepler-82,d,Transit,4,2.382961,0.034,,,,,,0.158,1.77,,2014,5428,0.85,0.94,,,-0.014,[Fe/H],
2992,Kepler-82,e,Transit,4,5.902206,0.063,,,,,,0.22,2.47,,2014,5428,0.85,0.94,,,-0.014,[Fe/H],
2993,Kepler-820,b,Transit,1,127.8338098,,,,,,,0.543,6.09,,2016,6260,1.23,1.36,,,0.09,[Fe/H],2.63
2994,Kepler-821,b,Transit,1,1.92279873,,,,,,,0.117,1.31,,2016,5191,0.84,0.8,,,-0.03,[Fe/H],4.79
2995,Kepler-822,b,Transit,1,3.22296927,,,,,,,0.158,1.77,,2016,5928,1.06,1.08,,,0.04,[Fe/H],3.55
2996,Kepler-823,b,Transit,1,4.16809082,,,,,,,0.14,1.57,,2016,5643,0.98,0.96,,,0.06,[Fe/H],4.47
2997,Kepler-824,b,Transit,1,4.51436633,,,,,,,0.167,1.87,,2016,6035,1.15,1.22,,,0.14,[Fe/H],3.31
2998,Kepler-825,b,Transit,2,3.77360059,,,,,,,0.136,1.53,,2016,5976,1.03,1.08,,,-0.08,[Fe/H],3.55
2999,Kepler-825,c,Transit,2,8.1818246,,,,,,,0.164,1.84,,2016,5976,1.03,1.08,,,-0.08,[Fe/H],3.55
3000,Kepler-826,b,Transit,1,4.48758907,,,,,,,0.112,1.25,,2016,6079,1.05,1.15,,,-0.12,[Fe/H],4.37
3001,Kepler-827,b,Transit,1,51.92927591,,,,,,,0.502,5.63,,2016,5602,0.93,0.91,,,-0.06,[Fe/H],4.37
3002,Kepler-828,b,Transit,1,0.56785714,,,,,,,0.135,1.51,,2016,5039,0.81,0.77,,,-0.02,[Fe/H],4.57
3003,Kepler-829,b,Transit,1,6.88337562,,,,,,,0.188,2.11,,2016,5698,0.98,0.97,,,0.03,[Fe/H],4.68
3004,Kepler-83,b,Transit,3,9.77,,,,,,,0.252,2.83,,2012,4648,0.66,0.59,,,-0.195,[Fe/H],
3005,Kepler-83,c,Transit,3,20.09,,,,,,,0.211,2.36,,2012,4648,0.66,0.59,,,-0.195,[Fe/H],
3006,Kepler-83,d,Transit,3,5.169796,0.051,,,,,,0.173,1.94,,2014,4648,0.66,0.59,,,-0.195,[Fe/H],
3007,Kepler-830,b,Transit,1,11.29695137,,,,,,,0.152,1.7,,2016,6037,1.07,1.11,,,-0.02,[Fe/H],3.47
3008,Kepler-831,b,Transit,1,5.62153941,,,,,,,0.113,1.27,,2016,5732,0.99,0.97,,,0.02,[Fe/H],4.17
3009,Kepler-832,b,Transit,1,7.1396941,,,,,,,0.184,2.06,,2016,5596,0.92,0.9,,,-0.08,[Fe/H],4.37
3010,Kepler-833,b,Transit,1,18.7546998,,,,,,,0.18,2.02,,2016,4339,0.64,0.62,,,-0.18,[Fe/H],3.72
3011,Kepler-834,b,Transit,1,13.32388301,,,,,,,0.18,2.02,,2016,4554,0.7,0.66,,,-0.13,[Fe/H],2.69
3012,Kepler-835,b,Transit,1,11.41909375,,,,,,,0.249,2.79,,2016,5954,1.08,1.11,,,0.08,[Fe/H],3.63
3013,Kepler-836,b,Transit,1,11.36112327,,,,,,,0.244,2.73,,2016,5895,1.03,1.04,,,-0.01,[Fe/H],4.27
3014,Kepler-837,b,Transit,1,16.56059504,,,,,,,0.228,2.56,,2016,5403,0.85,0.81,,,-0.18,[Fe/H],3.98
3015,Kepler-838,b,Transit,1,15.74957994,,,,,,,0.244,2.73,,2016,5770,0.98,0.96,,,-0.06,[Fe/H],4.17
3016,Kepler-839,b,Transit,1,37.8144514,,,,,,,0.229,2.57,,2016,6058,1.22,1.31,,,0.29,[Fe/H],2.82
3017,Kepler-84,b,Transit,5,8.726,,,,,,,0.199,2.23,,2012,6031,1,1.17,,,-0.131,[Fe/H],
3018,Kepler-84,c,Transit,5,12.883,,,,,,,0.211,2.36,,2012,6031,1,1.17,,,-0.131,[Fe/H],
3019,Kepler-84,d,Transit,5,4.224537,0.052,,,,,,0.123,1.38,,2014,6031,1,1.17,,,-0.131,[Fe/H],
3020,Kepler-84,e,Transit,5,27.434389,0.181,,,,,,0.232,2.6,,2014,6031,1,1.17,,,-0.131,[Fe/H],
3021,Kepler-84,f,Transit,5,44.552169,0.25,,,,,,0.196,2.2,,2014,6031,1,1.17,,,-0.131,[Fe/H],
3022,Kepler-840,b,Transit,1,2.49577962,,,,,,,1.523,17.07,,2016,5920,1.04,1.06,,,0,[Fe/H],3.89
3023,Kepler-841,b,Transit,1,124.4198398,,,,,,,0.467,5.23,,2016,5324,0.85,0.81,,,-0.09,[Fe/H],4.47
3024,Kepler-842,b,Transit,1,1.21956827,,,,,,,0.143,1.6,,2016,4848,0.78,0.73,,,-0.02,[Fe/H],4.37
3025,Kepler-843,b,Transit,1,2.05387982,,,,,,,0.231,2.59,,2016,5830,1.02,1.03,,,0.05,[Fe/H],4.17
3026,Kepler-844,b,Transit,1,2.61302086,,,,,,,0.15,1.68,,2016,4128,0.59,0.57,,,-0.24,[Fe/H],3.8
3027,Kepler-845,b,Transit,1,0.92785982,,,,,,,0.182,2.04,,2016,4913,0.79,0.75,,,0.01,[Fe/H],4.79
3028,Kepler-846,b,Transit,1,19.80792185,,,,,,,0.221,2.48,,2016,5579,0.94,0.91,,,0,[Fe/H],4.37
3029,Kepler-847,b,Transit,1,2.3432319,,,,,,,0.105,1.18,,2016,4940,0.83,0.77,,,0.15,[Fe/H],3.89
3030,Kepler-848,b,Transit,1,6.91134416,,,,,,,0.152,1.7,,2016,5695,1.01,1.2,,,0.15,[Fe/H],8.32
3031,Kepler-849,b,Transit,1,394.6244904,,,,,,,0.637,7.14,,2016,6059,1.23,1.64,,,0.12,[Fe/H],3.98
3032,Kepler-85,b,Transit,4,8.306,,,,,,,0.176,1.97,,2012,5436,0.92,0.89,,,-0.031,[Fe/H],
3033,Kepler-85,c,Transit,4,12.513,,,,,,,0.194,2.18,,2012,5436,0.92,0.89,,,-0.031,[Fe/H],
3034,Kepler-85,d,Transit,4,17.91323,0.13,,,,,,0.107,1.2,,2014,5436,0.92,0.89,,,-0.031,[Fe/H],
3035,Kepler-85,e,Transit,4,25.216751,0.163,,,,,,0.113,1.27,,2014,5436,0.92,0.89,,,-0.031,[Fe/H],
3036,Kepler-850,b,Transit,1,7.19303878,,,,,,,0.159,1.78,,2016,5932,1.06,1.09,,,0.03,[Fe/H],3.89
3037,Kepler-851,b,Transit,1,8.50699658,,,,,,,0.15,1.68,,2016,5455,0.89,0.85,,,-0.07,[Fe/H],4.47
3038,Kepler-852,b,Transit,1,44.9309804,,,,,,,0.227,2.54,,2016,6100,1.19,1.16,,,0.22,[Fe/H],1.48
3039,Kepler-853,b,Transit,1,7.16892463,,,,,,,0.151,1.69,,2016,6350,1.3,1.55,,,0.07,[Fe/H],2.69
3040,Kepler-854,b,Transit,1,2.14463285,,,,,,,1.492,16.72,,2016,6179,1.17,1.27,,,0.04,[Fe/H],3.02
3041,Kepler-855,b,Transit,1,7.8866311,,,,,,,0.745,8.35,,2016,5835,1.03,1.03,,,0.06,[Fe/H],4.17
3042,Kepler-856,b,Transit,1,8.02768059,,,,,,,0.83,9.3,,2016,5535,0.96,0.93,,,0.12,[Fe/H],4.27
3043,Kepler-857,b,Transit,1,85.35129427,,,,,,,0.607,6.8,,2016,5773,0.99,0.99,,,0.02,[Fe/H],4.27
3044,Kepler-858,b,Transit,1,76.13602028,,,,,,,0.434,4.87,,2016,5653,0.96,0.91,,,-0.04,[Fe/H],3.39
3045,Kepler-859,b,Transit,1,20.38177573,,,,,,,0.276,3.09,,2016,5020,0.81,0.77,,,-0.02,[Fe/H],4.57
3046,Kepler-860,b,Transit,1,5.10137945,,,,,,,0.289,3.24,,2016,5836,1.04,1.06,,,0.09,[Fe/H],4.27
3047,Kepler-861,b,Transit,1,3.94963138,,,,,,,0.203,2.28,,2016,5047,0.82,0.78,,,0.01,[Fe/H],4.47
3048,Kepler-862,b,Transit,1,3.14866453,,,,,,,0.197,2.21,,2016,5333,0.88,0.84,,,0.04,[Fe/H],4.79
3049,Kepler-863,b,Transit,1,15.59461874,,,,,,,0.259,2.9,,2016,5678,0.96,0.95,,,-0.03,[Fe/H],3.8
3050,Kepler-864,b,Transit,1,5.83376092,,,,,,,0.214,2.4,,2016,5754,1,1,,,0.04,[Fe/H],4.68
3051,Kepler-865,b,Transit,1,14.16399294,,,,,,,0.222,2.49,,2016,5570,0.93,0.92,,,-0.01,[Fe/H],4.27
3052,Kepler-866,b,Transit,1,2.61703254,,,,,,,0.145,1.63,,2016,4751,0.75,0.71,,,-0.07,[Fe/H],4.27
3053,Kepler-867,b,Transit,1,150.242127,,,,,,,0.414,4.64,,2016,5541,0.92,0.91,,,-0.02,[Fe/H],5.89
3054,Kepler-868,b,Transit,1,5.03251791,,,,,,,0.183,2.05,,2016,5614,0.93,0.89,,,-0.08,[Fe/H],3.89
3055,Kepler-869,b,Transit,1,40.4287755,,,,,,,0.322,3.61,,2016,5664,0.97,0.95,,,0.02,[Fe/H],4.79
3056,Kepler-87,b,Transit,2,114.73635,0.481,0.036,89.274,1.02,1.02,324.2,1.204,13.49,0.729,2013,5600,1.1,1.82,,,-0.17,[Fe/H],7.5
3057,Kepler-87,c,Transit,2,191.2318,0.676,0.039,89.588,0.02,0.02,6.4,0.548,6.14,0.152,2013,5600,1.1,1.82,,,-0.17,[Fe/H],7.5
3058,Kepler-870,b,Transit,1,21.3587621,,,,,,,0.248,2.78,,2016,5857,1.01,1.02,,,-0.01,[Fe/H],3.8
3059,Kepler-871,b,Transit,1,22.0459018,,,,,,,0.334,3.74,,2016,5993,1.11,1.14,,,0.09,[Fe/H],3.47
3060,Kepler-872,b,Transit,1,2.57885507,,,,,,,0.178,1.99,,2016,5902,1.05,1.08,,,0.04,[Fe/H],4.17
3061,Kepler-873,b,Transit,1,20.5533844,,,,,,,0.335,3.75,,2016,6163,1.18,1.27,,,0.07,[Fe/H],2.95
3062,Kepler-874,b,Transit,1,40.0686727,,,,,,,0.352,3.94,,2016,6020,1.09,1.13,,,0.03,[Fe/H],3.31
3063,Kepler-875,b,Transit,1,27.5073799,,,,,,,0.259,2.9,,2016,5958,1.06,1.11,,,0.03,[Fe/H],3.39
3064,Kepler-876,b,Transit,1,5.14438011,,,,,,,0.128,1.43,,2016,5060,0.81,0.77,,,-0.03,[Fe/H],5.25
3065,Kepler-877,b,Transit,1,18.45847097,,,,,,,0.189,2.12,,2016,5261,0.85,0.81,,,-0.06,[Fe/H],4.57
3066,Kepler-878,b,Transit,1,25.9422033,,,,,,,0.172,1.93,,2016,5044,0.81,0.77,,,-0.03,[Fe/H],4.57
3067,Kepler-879,b,Transit,1,33.3855938,,,,,,,0.229,2.57,,2016,5792,1.02,1.02,,,0.05,[Fe/H],4.27
3068,Kepler-880,b,Transit,1,7.71468975,,,,,,,0.237,2.66,,2016,6761,1.46,1.74,,,0.03,[Fe/H],1.66
3069,Kepler-881,b,Transit,1,4.44448017,,,,,,,0.159,1.78,,2016,5961,1.06,1.09,,,0,[Fe/H],3.8
3070,Kepler-882,b,Transit,1,3.98953967,,,,,,,0.11,1.23,,2016,5476,0.9,0.87,,,-0.03,[Fe/H],4.57
3071,Kepler-883,b,Transit,1,12.98495573,,,,,,,0.159,1.78,,2016,6116,1.06,1.09,,,-0.13,[Fe/H],3.02
3072,Kepler-884,b,Transit,1,5.69919514,,,,,,,0.11,1.23,,2016,5715,1,0.94,,,0.05,[Fe/H],2.45
3073,Kepler-885,b,Transit,1,18.11472949,,,,,,,0.223,2.5,,2016,6187,1.21,1.35,,,0.11,[Fe/H],3.16
3074,Kepler-886,b,Transit,1,6.24146367,,,,,,,0.136,1.52,,2016,6098,1.1,1.16,,,-0.01,[Fe/H],3.39
3075,Kepler-887,b,Transit,2,20.42228798,,,,,,,0.164,1.84,,2016,6194,1.19,1.29,,,0.08,[Fe/H],3.09
3076,Kepler-887,c,Transit,2,7.63846023,,,,,,,0.101,1.13,,2016,6194,1.19,1.29,,,0.08,[Fe/H],3.09
3077,Kepler-888,b,Transit,1,70.6979061,,,,,,,0.157,1.76,,2016,5875,0.97,0.9,,,-0.21,[Fe/H],1.48
3078,Kepler-889,b,Transit,1,3.744439,,,,,,,0.097,1.09,,2016,5961,1.14,1.25,,,0.19,[Fe/H],3.98
3079,Kepler-890,b,Transit,1,52.75875577,,,,,,,0.793,8.89,,2016,5954,1.09,1.13,,,0.09,[Fe/H],3.63
3080,Kepler-891,b,Transit,1,53.44945593,,,,,,,0.572,6.41,,2016,5887,1.06,1.07,,,0.09,[Fe/H],3.55
3081,Kepler-892,b,Transit,1,13.7521072,,,,,,,0.251,2.81,,2016,4747,0.75,0.72,,,-0.04,[Fe/H],5.01
3082,Kepler-893,b,Transit,1,6.33855761,,,,,,,0.27,3.03,,2016,5820,1,0.99,,,-0.03,[Fe/H],3.8
3083,Kepler-894,b,Transit,1,9.803224,,,,,,,0.248,2.78,,2016,5603,0.87,0.85,,,-0.25,[Fe/H],4.27
3084,Kepler-895,b,Transit,1,2.80624233,,,,,,,0.137,1.54,,2016,4315,0.65,0.61,,,-0.16,[Fe/H],2.63
3085,Kepler-896,b,Transit,1,144.547396,,,,,,,0.226,2.53,,2016,5262,0.84,0.81,,,-0.1,[Fe/H],5.01
3086,Kepler-897,b,Transit,1,8.0472642,,,,,,,0.213,2.39,,2016,5839,1.03,1.04,,,0.04,[Fe/H],4.37
3087,Kepler-898,b,Transit,1,5.8706191,,,,,,,0.133,1.49,,2016,4223,0.65,0.62,,,-0.06,[Fe/H],3.98
3088,Kepler-899,b,Transit,1,19.17891293,,,,,,,0.239,2.68,,2016,5595,0.93,0.91,,,-0.06,[Fe/H],4.07
3089,Kepler-9,b,Transit,3,19.24,0.14,0.15,,0.252,0.252,80.09,0.842,9.438,0.524,2010,5777,1.07,1.02,,,0.12,[Fe/H],1
3090,Kepler-9,c,Transit,3,38.91,0.225,0.13,,0.171,0.171,54.347,0.823,9.225,0.383,2010,5777,1.07,1.02,,,0.12,[Fe/H],1
3091,Kepler-9,d,Transit,3,1.592851,0.0273,,,,,,0.146,1.64,,2010,5777,1.07,1.02,,,0.12,[Fe/H],1
3092,Kepler-900,b,Transit,1,6.9913086,,,,,,,0.186,2.08,,2016,4836,0.78,0.73,,,-0.01,[Fe/H],4.57
3093,Kepler-901,b,Transit,1,3.51749439,,,,,,,0.122,1.37,,2016,4184,0.59,0.57,,,-0.3,[Fe/H],3.8
3094,Kepler-902,b,Transit,1,40.1099547,,,,,,,0.227,2.54,,2016,5647,0.95,0.93,,,0,[Fe/H],4.37
3095,Kepler-903,b,Transit,2,10.3507721,,,,,,,0.179,2.01,,2016,5682,0.98,0.97,,,0.05,[Fe/H],4.79
3096,Kepler-903,c,Transit,2,62.9228557,,,,,,,0.226,2.53,,2016,5682,0.98,0.97,,,0.05,[Fe/H],4.79
3097,Kepler-904,b,Transit,1,3.02166863,,,,,,,0.158,1.77,,2016,6160,1.16,1.25,,,0.05,[Fe/H],3.02
3098,Kepler-905,b,Transit,1,5.08274652,,,,,,,0.126,1.41,,2016,5461,0.95,0.86,,,0.09,[Fe/H],1.66
3099,Kepler-906,b,Transit,1,41.6979976,,,,,,,0.188,2.11,,2016,6035,1.06,1.02,,,-0.09,[Fe/H],1.86
3100,Kepler-907,b,Transit,1,15.86621821,,,,,,,0.107,1.2,,2016,6106,1.08,1.38,,,-0.15,[Fe/H],5.37
3101,Kepler-908,b,Transit,1,1.34059747,,,,,,,0.109,1.22,,2016,5973,1.11,1.12,,,0.15,[Fe/H],3.02
3102,Kepler-909,b,Transit,1,13.93290318,,,,,,,0.131,1.47,,2016,6154,1.17,1.23,,,0.08,[Fe/H],2.88
