NAME,Semi-eje (UA),Masa pl (Mjup),Rpl (R jup),Densidad pl (gr/cm^3),Periodo (dias),excentricidad,I deg,Año,Nombre estr,Masa estr (Msol),Radio estr (Rsol),Teff,Densidad estr g/cm^3,Metalicidad,Metodo
Kepler-1380 b,0.0914589,0.0101747,0.128,,10.3108245,0,,2016,Kepler-1380,0.96,0.94,5570,,0.1,Transit
Kepler-1381 b,0.166753,0.0170154,0.201,,25.3842686,0,,2016,Kepler-1381,0.96,0.94,5747,,-0.1,Transit
Kepler-1382 b,0.139726,0.0138656,0.168,,16.3583055,0,,2016,Kepler-1382,1.36,1.72,6161,,0.3,Transit
Kepler-1383 b,0.122255,0.00965491,0.126,,13.9093583,0,,2016,Kepler-1383,1.26,1.44,6370,,0.03,Transit
Kepler-1384 b,0.111331,0.0142915,0.173,,15.36262753,0,,2016,Kepler-1384,0.78,0.74,4919,,-0.06,Transit
Kepler-1385 b,0.0415895,0.00164848,0.076,,2.88879862,0,,2016,Kepler-1385,1.15,1.29,5732,,0.41,Transit
Kepler-1386 b,0.0702913,0.00628541,0.111,,6.73972381,0,,2016,Kepler-1386,1.02,1.03,5733,,0.11,Transit
Kepler-1387 b,0.0317279,0.00225358,0.083,,2.27952666,0,,2016,Kepler-1387,0.82,0.77,5046,,0.02,Transit
Kepler-1388 b,0.0893266,0.020755,0.231,,12.2854603,0,,2016,Kepler-1388,0.63,0.61,4098,,0.02,Transit
Kepler-1388 c,0.0525035,0.017125,0.202,,5.53608151,0,,2016,Kepler-1388,0.63,0.61,4098,,0.02,Transit
Kepler-1388 d,0.127527,0.024536,0.255,,20.9568158,0,,2016,Kepler-1388,0.63,0.61,4098,,0.02,Transit
Kepler-1388 e,0.188407,0.0191406,0.219,,37.6327084,0,,2016,Kepler-1388,0.63,0.61,4098,,0.02,Transit
Kepler-1389 b,0.391079,0.0130579,0.158,,99.2530951,0,,2016,Kepler-1389,0.81,0.74,5078,,-0.14,Transit
Kepler-139 b,0.123078,0.0258466,0.262289,,15.771044,,,2014,Kepler-139,,1.3,5594,,,Transit
Kepler-139 c,0.569736,0.0344212,0.301543,,157.072878,,,2014,Kepler-139,,1.3,5594,,,Transit
Kepler-1390 b,0.0675681,0.00518721,0.105,,6.48021673,0,,2016,Kepler-1390,0.98,0.98,5753,,-0.01,Transit
Kepler-1391 b,0.283792,0.0124487,0.15,,54.4092333,0,,2016,Kepler-1391,1.03,1.1,5840,,0.04,Transit
Kepler-1392 b,0.114781,0.0144664,0.175,,15.1410397,0,,2016,Kepler-1392,0.88,0.85,5479,,-0.11,Transit
Kepler-1393 b,0.0349032,0.00129651,0.071,,2.44357812,0,,2016,Kepler-1393,0.95,0.92,5697,,-0.09,Transit
Kepler-1394 b,0.0575502,0.00915206,0.124,,3.93766373,0,,2016,Kepler-1394,1.64,2.55,6481,,0.06,Transit
Kepler-1395 b,0.050083,0.00129651,0.071,,3.78470649,0,,2016,Kepler-1395,1.17,1.23,6138,,0.12,Transit
Kepler-1396 b,0.1432,0.015383,0.185,,18.2206421,0,,2016,Kepler-1396,1.18,1.27,6195,,0.04,Transit
Kepler-1397 b,0.263981,0.0126737,0.153,,47.449955,0,,2016,Kepler-1397,1.09,1.12,6026,,0,Transit
Kepler-1398 b,0.040381,0.00197713,0.08,,2.78815679,0,,2016,Kepler-1398,1.13,1.18,6126,,0.01,Transit
Kepler-1398 c,0.0525427,0.00325512,0.092,,4.13827595,0,,2016,Kepler-1398,1.13,1.18,6126,,0.01,Transit
Kepler-1399 b,0.026927,0.00648186,0.112,,1.63865306,0,,2016,Kepler-1399,0.97,0.96,5735,,-0.03,Transit
Kepler-14 b,0.0806879,8.40643,1.136,7.1,6.790123,0.0350051,90,2011,Kepler-14,1.512,2.048,6395,,0.12,Transit
Kepler-140 b,0.0429776,0.0119837,0.143635,,3.25427,,,2014,Kepler-140,,1.288,6077,,,Transit
Kepler-140 c,0.396968,0.0132614,0.160585,,91.353282,,,2014,Kepler-140,,1.288,6077,,,Transit
Kepler-1400 b,0.0799721,0.0120821,0.145,,9.06689421,0,,2016,Kepler-1400,0.83,0.78,5044,,0.04,Transit
Kepler-1401 b,0.100207,0.0124487,0.15,,11.20066445,0,,2016,Kepler-1401,1.07,1.1,5964,,0.04,Transit
Kepler-1402 b,0.0303322,0.00111394,0.068,,2.03387914,0,,2016,Kepler-1402,0.9,0.87,5416,,0.03,Transit
Kepler-1403 b,0.0607809,0.0159697,0.191,,5.19492202,0,,2016,Kepler-1403,1.11,1.15,6060,,0.03,Transit
Kepler-1404 b,0.116915,0.0148244,0.179,,15.9314739,0,,2016,Kepler-1404,0.84,0.8,5261,,-0.09,Transit
Kepler-1405 b,0.18441,0.0503054,0.353,,28.2274184,0,,2016,Kepler-1405,1.05,1.07,5925,,0.03,Transit
Kepler-1406 b,0.102102,0.00407386,0.098,,11.62905828,0,,2016,Kepler-1406,1.05,1.12,5892,,0.04,Transit
Kepler-1407 b,0.149206,0.0170154,0.201,,20.0711504,0,,2016,Kepler-1407,1.1,1.15,6010,,0.05,Transit
Kepler-1408 b,0.0433594,0.00189081,0.079,,2.99793191,0,,2016,Kepler-1408,1.21,1.35,6170,,0,Transit
Kepler-1409 b,0.0153823,0.00338324,0.093,,0.76486493,0,,2016,Kepler-1409,0.83,0.79,5160,,-0.03,Transit
Kepler-141 b,0.041677,0.000786457,0.0615577,,3.107675,,,2014,Kepler-141,,0.787,4910,,,Transit
Kepler-141 c,0.0716875,0.00960182,0.125792,,7.010606,,,2014,Kepler-141,,0.787,4910,,,Transit
Kepler-1410 b,0.2596,0.0131362,0.159,,60.866168,0,,2016,Kepler-1410,0.63,0.6,4092,,0.01,Transit
Kepler-1411 b,0.375175,0.0240196,0.252,,86.1150888,0,,2016,Kepler-1411,0.95,0.92,5664,,-0.04,Transit
Kepler-1412 b,0.0469983,0.0015002,0.074,,3.6146051,0,,2016,Kepler-1412,1.06,1.27,5880,,0.04,Transit
Kepler-1413 b,0.103048,0.0133743,0.162,,13.1829642,0,,2016,Kepler-1413,0.84,0.8,5196,,-0.05,Transit
Kepler-1414 b,0.0420065,0.00609283,0.11,,3.51576315,0,,2016,Kepler-1414,0.8,0.75,4951,,-0.02,Transit
Kepler-1415 b,0.0139284,0.00709482,0.115,,0.63642408,0,,2016,Kepler-1415,0.89,0.84,5267,,0.12,Transit
Kepler-1416 b,0.0263353,0.00189081,0.079,,1.49514952,0,,2016,Kepler-1416,1.09,1.15,6019,,0.03,Transit
